year,date,decade,sample_window,headline,abstract,lead_paragraph,snippet,section,news_desk,type_of_material,document_type,word_count,keywords,url
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,Mixed Reviews for Hong Kong's Cultural Center,,,,Arts,Cultural Desk,News,article,1093,Hong Kong; Architecture; Culture; Nytravel; HONG KONG CULTURAL CENTER,https://www.nytimes.com/1990/01/01/arts/mixed-reviews-for-hong-kong-s-cultural-center.html
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,UPHEAVAL IN THE EAST;   Jackson Says Panama Took Focus Off China,,,,World,Foreign Desk,News,article,245,"Panama; China; Bush, George; Jackson, Jesse L; United States International Relations; Politics and Government; PANAMA-INTERNATIONAL RELATIONS-US; China-International Relations-US; United States Armament and Defense",https://www.nytimes.com/1990/01/01/world/upheaval-in-the-east-jackson-says-panama-took-focus-off-china.html
1990,1990-01-01T05:00:00Z,1990s,Jan-Feb,"Washington Talk;   For Bush in 1989, the Focus Was Foreign Policy",,,,U.S.,National Desk,News,article,766,"Bush, George; United States International Relations",https://www.nytimes.com/1990/01/01/us/washington-talk-for-bush-in-1989-the-focus-was-foreign-policy.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"10,000 in Hong Kong Rally for a Free China",,,,World,Foreign Desk,News,article,180,Hong Kong; China; Demonstrations and Riots,https://www.nytimes.com/1990/01/02/world/10000-in-hong-kong-rally-for-a-free-china.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"Beijing Journal;   On the Stifled Campuses, Faint Echoes of Dissent",,,,World,Foreign Desk,News,article,1150,China; Propaganda; Colleges and Universities; Demonstrations and Riots,https://www.nytimes.com/1990/01/02/world/beijing-journal-on-the-stifled-campuses-faint-echoes-of-dissent.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Continents In Motion: Patchwork Process,,,,Science,Science Desk,News,article,2000,CONTINENTS; Geology,https://www.nytimes.com/1990/01/02/science/continents-in-motion-patchwork-process.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"New Decade, New World, New Strategy",,,,Opinion,Editorial Desk,Op-Ed,article,939,Nineteen Hundred Nineties; United States International Relations,https://www.nytimes.com/1990/01/02/opinion/new-decade-new-world-new-strategy.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Reason and Law Reject Our Panama Invasion;   Light From Europe,,,,Opinion,Editorial Desk,Letter,article,492,Terms not available,https://www.nytimes.com/1990/01/02/opinion/l-reason-and-law-reject-our-panama-invasion-light-from-europe-526790.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,Steel Problems in China,,,,Business,Financial Desk,News,article,136,China; International Trade and World Market; Currency; Steel and Iron,https://www.nytimes.com/1990/01/02/business/steel-problems-in-china.html
1990,1990-01-02T05:00:00Z,1990s,Jan-Feb,"WALL STREET OUTLOOK;

Dollar Fails to Heed Analysts' Predictions","LEAD: The dollar began 1989 on the offensive and ended it in a partial retreat. It consistently confounded economists, foreign exchange traders and the policy makers of the United States and its chief economic allies.",,"LEAD: The dollar began 1989 on the offensive and ended it in a partial retreat. It consistently confounded economists, foreign exchange traders and the policy makers of the United States and its chief economic allies.",Business,Financial Desk,News,article,792,"United States; WEST GERMANY; Fuerbringer, Jonathan; Currency; INTERNATIONAL MONETARY SYSTEM; Forecasts; NINETEEN HUNDRED NINETY",https://www.nytimes.com/1990/01/02/business/wall-street-outlook-dollar-fails-to-heed-analysts-predictions.html
