decade,rank,neighbor,similarity
1990s,1,chinese,0.6384302164390215
1990s,2,chinas,0.5868012246790074
1990s,3,hong_kong,0.5846294267003098
1990s,4,trade,0.5658724310080381
1990s,5,us,0.5528541837230629
1990s,6,political,0.5465049966632205
1990s,7,beijing,0.5382406130818012
1990s,8,world,0.5304319160744084
1990s,9,american,0.5248645774753083
1990s,10,international,0.5223512648379919
1990s,11,photo,0.5215802654149926
1990s,12,human_rights,0.5163102162580316
1990s,13,government,0.5140030002776422
1990s,14,says,0.5123383793534538
1990s,15,united_states,0.5122678077285094
1990s,16,pres,0.4973140533283431
1990s,17,clinton,0.4957962726445353
1990s,18,economic,0.4937194021821629
1990s,19,first,0.4814174967934674
1990s,20,relations,0.4764362835499186
2000s,1,chinese,0.8154602108570929
2000s,2,us,0.7065081402819066
2000s,3,chinas,0.70052076562009
2000s,4,government,0.6914469155925826
2000s,5,says,0.6768726317674459
2000s,6,united_states,0.660938537802598
2000s,7,photo,0.6473221943402374
2000s,8,trade,0.6470796611194031
2000s,9,international,0.6403665158532472
2000s,10,first,0.6210438467721567
2000s,11,american,0.6201685163198734
2000s,12,years,0.6199395157153322
2000s,13,world,0.6161371922178078
2000s,14,officials,0.6017803636003045
2000s,15,said,0.6014120357664319
2000s,16,economy,0.5986855303808681
2000s,17,would,0.5927117113015052
2000s,18,last,0.5893557173836086
2000s,19,company,0.5859556475752259
2000s,20,many,0.5823997809212708
2010s,1,chinese,0.7690698941812337
2010s,2,united_states,0.6890123066555173
2010s,3,government,0.6541001133009012
2010s,4,beijing,0.6404317541909772
2010s,5,international,0.6390675257526952
2010s,6,us,0.6372138004267637
2010s,7,world,0.5995584146692257
2010s,8,president,0.5933108652083678
2010s,9,xi_jinping,0.5808649462742463
2010s,10,said,0.5780899113602166
2010s,11,may,0.5750585695274123
2010s,12,global,0.5737193737623658
2010s,13,country,0.5724976371062063
2010s,14,trade,0.5722511538219919
2010s,15,communist_party,0.5687172040900614
2010s,16,american,0.5587516108791022
2010s,17,economic,0.5584150824942814
2010s,18,one,0.547332184971599
2010s,19,trump,0.5431421202511332
2010s,20,hong_kong,0.5332927492860533
2020s,1,beijing,0.5683986053177308
2020s,2,united_states,0.5528381971874634
2020s,3,government,0.5448762789707202
2020s,4,xi_jinping,0.5424011376052297
2020s,5,international,0.5067340586014863
2020s,6,trump,0.5065293498935456
2020s,7,world,0.5035220779534636
2020s,8,politics,0.4994770227555064
2020s,9,chinese,0.49915714326565347
2020s,10,communist_party,0.49668943415245903
2020s,11,us,0.4954830359187639
2020s,12,russia,0.4774350229890085
2020s,13,relations,0.4718931487820962
2020s,14,covid,0.4700803530128837
2020s,15,economy,0.4686210110309341
2020s,16,country,0.46658321988961016
2020s,17,president,0.4613599575026693
2020s,18,economic,0.4575482324948711
2020s,19,companies,0.4539065982890157
2020s,20,ties,0.44851021383387574
