decade,term,count,per_article,per_1000_words
1990s,china,513,1.3187660668380463,14.639157606369318
1990s,chinese,161,0.4138817480719794,4.594355506092515
1990s,chinas,76,0.1953727506426735,2.1687640898324916
1990s,china_chinese_chinas_combined,750,1.9280205655526992,21.402277202294325
2000s,china,730,1.1111111111111112,10.856148595392828
2000s,chinese,269,0.4094368340943683,4.0004164002200975
2000s,chinas,132,0.2009132420091324,1.9630296090299362
2000s,china_chinese_chinas_combined,1131,1.721461187214612,16.819594604642862
2010s,china,1123,1.128643216080402,25.69323693603002
2010s,chinese,285,0.2864321608040201,6.520545437906104
2010s,chinas,8,0.008040201005025126,0.18303285439736433
2010s,china_chinese_chinas_combined,1416,1.4231155778894473,32.39681522833349
2020s,china,490,0.9645669291338582,20.390329158170697
2020s,chinese,73,0.1437007874015748,3.0377429154009405
2020s,chinas,0,0.0,0.0
2020s,china_chinese_chinas_combined,563,1.108267716535433,23.428072073571634
