year,document_type,articles,percent_articles
1990,article,10,90.9090909090909
1990,Unknown,1,9.090909090909092
1991,article,10,100.0
1992,article,18,100.0
1993,article,26,100.0
1994,article,17,100.0
1995,article,19,95.0
1995,Unknown,1,5.0
1996,article,35,74.46808510638297
1996,Unknown,12,25.53191489361702
1997,article,69,84.14634146341463
1997,Unknown,13,15.853658536585366
1998,article,71,83.52941176470588
1998,Unknown,14,16.470588235294116
1999,article,59,80.82191780821918
1999,Unknown,14,19.17808219178082
2000,article,71,83.52941176470588
2000,Unknown,13,15.294117647058824
2000,recipe,1,1.1764705882352942
2001,article,51,76.11940298507463
2001,Unknown,16,23.88059701492537
2002,article,66,85.71428571428571
2002,Unknown,11,14.285714285714285
2003,article,81,87.09677419354838
2003,Unknown,12,12.903225806451612
2004,article,66,83.54430379746836
2004,Unknown,13,16.455696202531644
2005,article,48,75.0
2005,Unknown,16,25.0
2006,article,53,89.83050847457628
2006,Unknown,6,10.16949152542373
2007,article,37,80.43478260869566
2007,Unknown,9,19.565217391304348
2008,article,30,93.75
2008,Unknown,2,6.25
2009,article,47,85.45454545454545
2009,Unknown,8,14.545454545454545
2010,article,86,93.47826086956522
2010,Unknown,6,6.521739130434782
2011,article,84,88.42105263157895
2011,Unknown,11,11.578947368421053
2012,article,90,87.37864077669903
2012,Unknown,13,12.62135922330097
2013,article,82,83.6734693877551
2013,Unknown,16,16.3265306122449
2014,article,95,83.33333333333334
2014,Unknown,19,16.666666666666664
2015,article,86,86.0
2015,Unknown,14,14.000000000000002
2016,article,89,83.9622641509434
2016,Unknown,17,16.037735849056602
2017,article,84,84.84848484848484
2017,Unknown,15,15.151515151515152
2018,article,75,82.41758241758241
2018,Unknown,16,17.582417582417584
2019,article,82,84.5360824742268
2019,Unknown,14,14.432989690721648
2019,interactive,1,1.0309278350515463
2020,article,75,83.33333333333334
2020,Unknown,14,15.555555555555555
2020,interactive,1,1.1111111111111112
2021,article,68,78.16091954022988
2021,Unknown,18,20.689655172413794
2021,interactive,1,1.1494252873563218
2022,article,32,69.56521739130434
2022,Unknown,14,30.434782608695656
2023,article,71,79.7752808988764
2023,Unknown,14,15.730337078651685
2023,interactive,4,4.49438202247191
2024,article,76,78.35051546391753
2024,Unknown,15,15.463917525773196
2024,interactive,6,6.185567010309279
2025,article,85,85.85858585858585
2025,Unknown,13,13.131313131313133
2025,interactive,1,1.0101010101010102
