year,articles,percent_with_economic_terms,percent_with_security_terms,percent_with_both_economic_and_security,among_economic_articles_percent_with_security,avg_economic_term_count_per_article,avg_security_term_count_per_article,security_per_economic_ratio,securitization_index,economic_security_overlap_rate,conflict_vs_engagement_ratio
1990,11,63.63636363636363,27.27272727272727,27.27272727272727,42.857142857142854,5.818181818181818,1.0,0.16923076923076924,0.16923076923076924,0.42857142857142855,0.45454545454545453
1991,10,20.0,10.0,0.0,0.0,0.4,0.2,0.4,0.4,0.0,0.21052631578947367
1992,18,38.88888888888889,27.77777777777778,16.666666666666664,42.857142857142854,1.4444444444444444,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.8
1993,26,30.76923076923077,26.923076923076923,3.8461538461538463,12.5,1.1153846153846154,0.6923076923076923,0.6,0.6,0.125,1.0
1994,17,47.05882352941176,23.52941176470588,11.76470588235294,25.0,1.7058823529411764,0.8235294117647058,0.4666666666666667,0.4666666666666667,0.25,0.8
1995,20,45.0,30.0,10.0,22.22222222222222,1.4,0.8,0.5517241379310345,0.5517241379310345,0.2222222222222222,1.0
1996,47,34.04255319148936,17.02127659574468,4.25531914893617,12.5,1.3191489361702127,0.40425531914893614,0.30158730158730157,0.30158730158730157,0.125,0.56
1997,82,39.02439024390244,21.951219512195124,10.975609756097562,28.125,1.6219512195121952,0.6219512195121951,0.3805970149253731,0.3805970149253731,0.28125,0.4318181818181818
1998,85,42.35294117647059,22.35294117647059,7.0588235294117645,16.666666666666664,1.7647058823529411,0.7647058823529411,0.4304635761589404,0.4304635761589404,0.16666666666666666,0.36363636363636365
1999,73,34.24657534246575,26.027397260273972,8.21917808219178,24.0,1.452054794520548,0.8904109589041096,0.6074766355140186,0.6074766355140186,0.24,0.1590909090909091
2000,85,31.76470588235294,36.470588235294116,9.411764705882353,29.629629629629626,1.3647058823529412,2.011764705882353,1.4615384615384615,1.4615384615384615,0.2962962962962963,0.515625
2001,67,37.3134328358209,38.80597014925373,11.940298507462686,32.0,1.7611940298507462,2.417910447761194,1.361344537815126,1.361344537815126,0.32,0.8484848484848485
2002,77,59.74025974025974,20.77922077922078,11.688311688311687,19.565217391304348,3.25974025974026,0.8701298701298701,0.26587301587301587,0.26587301587301587,0.1956521739130435,0.8780487804878049
2003,93,46.236559139784944,26.881720430107524,3.225806451612903,6.976744186046512,2.6344086021505375,1.2795698924731183,0.483739837398374,0.483739837398374,0.06976744186046512,0.2976190476190476
2004,79,41.77215189873418,22.78481012658228,10.126582278481013,24.242424242424242,2.7468354430379747,0.7848101265822784,0.28440366972477066,0.28440366972477066,0.24242424242424243,0.775
2005,64,59.375,23.4375,12.5,21.052631578947366,4.0625,1.421875,0.3486590038314176,0.3486590038314176,0.21052631578947367,0.984375
2006,59,32.20338983050847,27.11864406779661,5.084745762711865,15.789473684210526,1.5423728813559323,0.8305084745762712,0.532608695652174,0.532608695652174,0.15789473684210525,0.7272727272727273
2007,46,41.30434782608695,28.26086956521739,4.3478260869565215,10.526315789473683,1.565217391304348,0.6304347826086957,0.3972602739726027,0.3972602739726027,0.10526315789473684,0.9166666666666666
2008,32,53.125,9.375,3.125,5.88235294117647,1.6875,0.34375,0.2,0.2,0.058823529411764705,1.0
2009,55,45.45454545454545,14.545454545454545,3.6363636363636362,8.0,1.4181818181818182,0.32727272727272727,0.22784810126582278,0.22784810126582278,0.08,1.2142857142857142
2010,92,40.21739130434783,14.130434782608695,2.1739130434782608,5.405405405405405,1.4565217391304348,0.2826086956521739,0.1925925925925926,0.1925925925925926,0.05405405405405406,0.875
2011,95,51.578947368421055,20.0,8.421052631578947,16.3265306122449,1.5894736842105264,0.6105263157894737,0.3815789473684211,0.3815789473684211,0.16326530612244897,1.3043478260869565
2012,103,45.63106796116505,10.679611650485436,2.912621359223301,6.382978723404255,1.4951456310679612,0.23300970873786409,0.15483870967741936,0.15483870967741936,0.06382978723404255,0.375
2013,98,43.87755102040816,22.448979591836736,4.081632653061225,9.30232558139535,1.663265306122449,0.5714285714285714,0.34146341463414637,0.34146341463414637,0.09302325581395349,0.21739130434782608
2014,114,30.701754385964914,24.561403508771928,10.526315789473683,34.285714285714285,1.1140350877192982,0.8070175438596491,0.71875,0.71875,0.34285714285714286,1.103448275862069
2015,100,46.0,23.0,8.0,17.391304347826086,1.48,0.62,0.4161073825503356,0.4161073825503356,0.17391304347826086,0.5
2016,106,38.67924528301887,19.81132075471698,4.716981132075472,12.195121951219512,1.2547169811320755,0.6698113207547169,0.5298507462686567,0.5298507462686567,0.12195121951219512,0.5806451612903226
2017,99,41.41414141414141,26.262626262626267,10.1010101010101,24.390243902439025,1.4646464646464648,0.8686868686868687,0.589041095890411,0.589041095890411,0.24390243902439024,0.4791666666666667
2018,91,41.75824175824176,27.472527472527474,12.087912087912088,28.947368421052634,1.5054945054945055,0.9230769230769231,0.6086956521739131,0.6086956521739131,0.2894736842105263,1.1458333333333333
2019,97,35.051546391752574,36.08247422680412,12.371134020618557,35.294117647058826,1.2577319587628866,0.9587628865979382,0.7560975609756098,0.7560975609756098,0.35294117647058826,1.0714285714285714
2020,90,35.55555555555556,24.444444444444443,5.555555555555555,15.625,0.8888888888888888,0.7888888888888889,0.8765432098765432,0.8765432098765432,0.15625,1.2105263157894737
2021,87,31.03448275862069,22.988505747126435,5.747126436781609,18.51851851851852,1.1954022988505748,0.6436781609195402,0.5333333333333333,0.5333333333333333,0.18518518518518517,1.0625
2022,46,36.95652173913043,34.78260869565217,13.043478260869565,35.294117647058826,1.1956521739130435,0.9347826086956522,0.7678571428571429,0.7678571428571429,0.35294117647058826,2.090909090909091
2023,89,44.9438202247191,35.95505617977528,12.359550561797752,27.500000000000004,1.5617977528089888,1.3707865168539326,0.8714285714285714,0.8714285714285714,0.275,0.6440677966101694
2024,97,35.051546391752574,26.804123711340207,11.34020618556701,32.35294117647059,1.2164948453608246,0.7216494845360825,0.5882352941176471,0.5882352941176471,0.3235294117647059,0.6666666666666666
