year,articles,engagement_prevalence,conflict_prevalence,engagement_mentions,conflict_mentions,conflict_to_engagement_ratio
1990,11,36.36363636363637,27.27272727272727,21,10,0.45454545454545453
1991,10,40.0,20.0,18,4,0.21052631578947367
1992,18,22.22222222222222,22.22222222222222,9,8,0.8
1993,26,19.230769230769234,23.076923076923077,10,11,1.0
1994,17,17.647058823529413,23.52941176470588,9,8,0.8
1995,20,30.0,30.0,13,14,1.0
1996,47,23.404255319148938,14.893617021276595,24,14,0.56
1997,82,20.73170731707317,12.195121951219512,43,19,0.4318181818181818
1998,85,25.882352941176475,11.76470588235294,54,20,0.36363636363636365
1999,73,38.35616438356164,8.21917808219178,87,14,0.1590909090909091
2000,85,32.94117647058823,18.823529411764707,63,33,0.515625
2001,67,35.82089552238806,22.388059701492537,32,28,0.8484848484848485
2002,77,20.77922077922078,16.883116883116884,40,36,0.8780487804878049
2003,93,23.655913978494624,11.827956989247312,83,25,0.2976190476190476
2004,79,16.455696202531644,17.72151898734177,39,31,0.775
2005,64,28.125,20.3125,63,63,0.984375
2006,59,28.8135593220339,15.254237288135593,32,24,0.7272727272727273
2007,46,15.217391304347828,13.043478260869565,11,11,0.9166666666666666
2008,32,9.375,6.25,4,5,1.0
2009,55,12.727272727272727,16.363636363636363,13,17,1.2142857142857142
2010,92,14.130434782608695,11.956521739130435,23,21,0.875
2011,95,15.789473684210526,14.736842105263156,22,30,1.3043478260869565
2012,103,19.41747572815534,7.766990291262135,31,12,0.375
2013,98,12.244897959183673,3.061224489795918,22,5,0.21739130434782608
2014,114,15.789473684210526,14.912280701754385,28,32,1.103448275862069
2015,100,17.0,11.0,31,16,0.5
2016,106,17.92452830188679,10.377358490566039,30,18,0.5806451612903226
2017,99,30.303030303030305,12.121212121212121,47,23,0.4791666666666667
2018,91,27.472527472527474,27.472527472527474,47,55,1.1458333333333333
2019,97,26.804123711340207,22.68041237113402,41,45,1.0714285714285714
2020,90,13.333333333333334,12.222222222222221,18,23,1.2105263157894737
2021,87,22.988505747126435,21.839080459770116,31,34,1.0625
2022,46,13.043478260869565,28.26086956521739,10,23,2.090909090909091
2023,89,30.337078651685395,23.595505617977526,58,38,0.6440677966101694
2024,97,26.804123711340207,20.618556701030926,41,28,0.6666666666666666
2025,99,40.4040404040404,47.474747474747474,64,99,1.523076923076923
