news_desk,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
Arts & Ideas/Cultural Desk,5,383,9.56937799043062,0.0,8.695652173913043,0.0,9.56937799043062,8.695652173913043,0.8737258165175781,8.695652173913043,9.56937799043062,8.695652173913043,14.78468899521531,8.695652173913043,17.391304347826086,8.695652173913043,8.771929824561402,0.4,0.4,4,0,2,0,4,2,4,0,2,5
Arts and Leisure Desk,15,852,0.888888888888889,0.0,0.0,0.888888888888889,1.777777777777778,0.0,1.777777777777778,0.0,1.777777777777778,0.0,7.708683473389356,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,2,15,0,0,2,0,0
Arts&Leisure,6,473,0.0,0.6082725060827251,0.0,0.0,0.0,0.6082725060827251,-0.6082725060827251,0.6082725060827251,0.0,0.6082725060827251,8.130081300813009,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,2,0,0,0,0,0
Automobiles,2,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Book Review Desk,4,681,0.0,1.7421602787456445,0.0,1.7985611510791368,1.7985611510791368,1.7421602787456445,0.056400872333492336,1.7421602787456445,1.7985611510791368,1.7421602787456445,0.0,0.0,0.0,0.0,1.7421602787456445,0.0,0.0,0,2,0,2,0,0,0,2,0,2
BookReview,3,119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Books,1,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
Books / First Chapters,3,70,23.80952380952381,0.0,0.0,0.0,23.80952380952381,0.0,23.80952380952381,0.0,23.80952380952381,0.0,23.80952380952381,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,2,0,0,0,0,0
Business,408,19717,27.806034603970957,6.417158690285171,6.268017320329828,4.105916390936545,31.911950994907503,12.685176010614999,19.226774984292504,12.685176010614999,31.911950994907503,4.246539150746684,68.75445549503976,7.481611046986647,12.80624012674852,7.796958574278397,2.064260597243009,0.17288554310613133,0.30857843137254903,550,134,131,85,1339,159,260,91,164,40
Business / Business Special,1,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
