section,articles,total_tokens,opportunity_score,threat_score,competition_score,cooperation_score,positive_framing_score,negative_framing_score,net_framing_score,rivalry_score,engagement_score,rivalry_to_engagement_ratio,economic_score,security_score,technology_score,conflict_score,human_rights_score,securitization_index,conflict_to_engagement_ratio,opportunity_raw,threat_raw,competition_raw,cooperation_raw,economic_raw,security_raw,technology_raw,engagement_raw,conflict_raw,human_rights_raw
Archives,51,3353,26.342459876836212,9.743643859863221,7.5431968660871735,10.984106594919027,37.326566471755235,17.286840725950395,20.03972574580484,17.286840725950395,37.326566471755235,10.602210882752354,31.705378447103527,13.758879625613433,1.76545714071069,8.00739397793,4.7890013647015675,0.5540849673202615,0.3369747899159664,93,29,21,31,119,40,5,37,23,13
Arts,88,22760,3.7142166564365127,0.013047403827586386,2.595005993825726,3.43131523752842,7.145531893964932,2.608053397653313,4.53747849631162,2.608053397653313,7.145531893964932,2.5952286906608237,6.988409950111446,1.8249183972842575,1.9950767189193634,1.8223089165187403,0.9581695197447505,0.07263814616755794,0.07545454545454545,51,20,15,36,85,26,22,40,22,15
Automobiles,7,357,12.716842905522148,0.0,0.0,2.695417789757412,15.412260695279562,0.0,15.412260695279562,0.0,15.412260695279562,0.0,23.709919381395515,0.0,18.315018315018314,0.0,0.0,0.0,0.0,4,0,0,1,8,0,5,1,0,0
Blogs,14,978,17.075811806203962,1.400560224089636,0.0,3.5714285714285716,20.647240377632535,1.400560224089636,19.2466801535429,1.400560224089636,20.647240377632535,0.034826217176290315,41.79849464159291,0.0,12.246079725754523,0.0,0.7142857142857143,0.0,0.0,9,1,0,2,31,0,9,2,0,1
Books,15,1140,4.761904761904762,2.803757360881879,0.0,0.47961630695443647,5.241521068859199,2.803757360881879,2.437763707977319,2.803757360881879,5.241521068859199,2.803757360881879,4.761904761904762,2.3391812865497075,0.0,0.0,2.2663778761339737,0.13333333333333333,0.0,2,4,0,2,2,2,0,2,0,3
Business,632,36846,29.441375932855493,4.819517438125518,6.059068315013976,4.655781099362712,34.0971570322182,10.878585753139495,23.21857127907871,10.878585753139495,34.0971570322182,3.501967312245792,67.3447702786157,5.334079763274697,8.046475813654803,7.446695831562294,1.7722539131623738,0.12394942009580638,0.27376054852320675,1105,167,192,212,2377,187,280,229,235,63
Climate,14,703,5.621693121693121,4.969319851352519,5.658263305322129,9.792397582109285,15.414090703802405,10.627583156674648,4.786507547127757,10.627583156674648,15.414090703802405,8.233944490793094,19.5757084376649,2.463054187192118,10.661517495316483,2.463054187192118,0.0,0.07142857142857142,0.03571428571428571,4,3,3,7,14,1,8,7,1,0
Education,14,881,6.802721088435374,10.898645172354657,0.0,0.0,6.802721088435374,10.898645172354657,-4.095924083919283,10.898645172354657,6.802721088435374,10.898645172354657,0.0,10.898645172354657,0.0,7.983193277310924,20.265016077492014,0.5,0.35714285714285715,4,7,0,0,0,7,0,0,5,13
Fashion,17,695,7.142857142857143,0.0,1.589825119236884,0.0,7.142857142857143,1.589825119236884,5.553032023620259,1.589825119236884,7.142857142857143,1.589825119236884,14.145658263305322,0.0,1.633986928104575,0.0,0.0,0.0,0.0,5,0,1,0,10,0,1,0,0,0
Gameplay,6,207,0.0,0.0,6.4102564102564115,0.0,0.0,6.4102564102564115,-6.4102564102564115,6.4102564102564115,0.0,6.4102564102564115,0.0,7.246376811594203,0.0,0.0,0.0,0.3333333333333333,0.0,0,0,1,0,0,2,0,0,0,0
