decade,news_desk,articles,percent_articles
1990s,IHT News,110,28.277634961439592
1990s,Foreign Desk,62,15.938303341902312
1990s,Unknown,56,14.395886889460154
1990s,Editorial Desk,31,7.969151670951156
1990s,Business/Financial Desk,29,7.455012853470437
1990s,National Desk,12,3.0848329048843186
1990s,Metropolitan Desk,10,2.570694087403599
1990s,Connecticut Weekly Desk,9,2.313624678663239
1990s,Magazine Desk,8,2.056555269922879
1990s,Long Island Weekly Desk,7,1.7994858611825193
1990s,Arts and Leisure Desk,7,1.7994858611825193
1990s,Money and Business/Financial Desk,5,1.2853470437017995
1990s,Financial Desk,4,1.0282776349614395
1990s,New Jersey Weekly Desk,4,1.0282776349614395
1990s,Book Review Desk,4,1.0282776349614395
1990s,Home Desk,3,0.7712082262210797
1990s,The City Weekly Desk,3,0.7712082262210797
1990s,Sophisticated Traveler Magazine,3,0.7712082262210797
1990s,Science Desk,3,0.7712082262210797
1990s,House & Home/Style Desk,3,0.7712082262210797
1990s,Entertaining Magazine,2,0.5141388174807198
1990s,Education Life Supplement,2,0.5141388174807198
1990s,Westchester Weekly Desk,2,0.5141388174807198
1990s,Cultural Desk,2,0.5141388174807198
1990s,The Arts/Cultural Desk,2,0.5141388174807198
1990s,Business/Financial Desk;,1,0.2570694087403599
1990s,Weekend Desk,1,0.2570694087403599
1990s,Living Desk,1,0.2570694087403599
1990s,Leisure/Weekend Desk,1,0.2570694087403599
1990s,Arts & Ideas/Cultural Desk,1,0.2570694087403599
1990s,Health & Fitness,1,0.2570694087403599
2000s,Unknown,125,19.025875190258752
2000s,Foreign Desk,102,15.52511415525114
2000s,Business/Financial Desk,67,10.197869101978691
2000s,Business,46,7.00152207001522
2000s,IHT News,43,6.54490106544901
2000s,Foreign,40,6.0882800608828
2000s,National Desk,29,4.41400304414003
2000s,Editorial Desk,24,3.65296803652968
2000s,The Arts/Cultural Desk,16,2.43531202435312
2000s,ContinuousNews,14,2.13089802130898
2000s,Metropolitan Desk,12,1.82648401826484
2000s,International / Asia Pacific,12,1.82648401826484
2000s,Editorial,10,1.5220700152207
2000s,Arts and Leisure Desk,8,1.21765601217656
2000s,Leisure/Weekend Desk,7,1.06544901065449
2000s,House & Home/Style Desk,6,0.91324200913242
2000s,Money and Business/Financial Desk,6,0.91324200913242
2000s,Westchester Weekly Desk,6,0.91324200913242
2000s,Outlook,6,0.91324200913242
2000s,Culture,5,0.76103500761035
2000s,Metro,5,0.76103500761035
2000s,The Millennium,4,0.60882800608828
2000s,Arts & Ideas/Cultural Desk,4,0.60882800608828
2000s,Business / World Business,4,0.60882800608828
2000s,Magazine,4,0.60882800608828
2000s,National,4,0.60882800608828
2000s,Magazine Desk,3,0.45662100456621
2000s,Books / First Chapters,3,0.45662100456621
2000s,Science Desk,3,0.45662100456621
2000s,SundayBusiness,3,0.45662100456621
2000s,OpEd,3,0.45662100456621
2000s,"Movies, Performing Arts/Weekend Desk",2,0.30441400304414
2000s,New Jersey Weekly Desk,2,0.30441400304414
2000s,Automobiles,2,0.30441400304414
2000s,Connecticut Weekly Desk,2,0.30441400304414
2000s,CityWeekly,2,0.30441400304414
2000s,Museums,1,0.15220700152207
2000s,Television,1,0.15220700152207
2000s,The City Weekly Desk,1,0.15220700152207
2000s,International,1,0.15220700152207
2000s,Health,1,0.15220700152207
2000s,Washington,1,0.15220700152207
2000s,Health & Fitness,1,0.15220700152207
2000s,Business / Your Money,1,0.15220700152207
2000s,Circuits,1,0.15220700152207
2000s,International / Europe,1,0.15220700152207
2000s,Business / Media & Advertising,1,0.15220700152207
2000s,Business / Business Special,1,0.15220700152207
2000s,T: Living Magazine,1,0.15220700152207
2000s,International / Africa,1,0.15220700152207
2000s,Long Island Weekly Desk,1,0.15220700152207
2000s,Styles,1,0.15220700152207
2000s,Society,1,0.15220700152207
2000s,Home,1,0.15220700152207
2000s,Arts&Leisure,1,0.15220700152207
2000s,US,1,0.15220700152207
2000s,Opinion,1,0.15220700152207
2000s,Business / Global Business,1,0.15220700152207
2000s,Business / Energy & Environment,1,0.15220700152207
2010s,Foreign,256,25.728643216080403
2010s,Business,247,24.824120603015075
2010s,Unknown,227,22.814070351758794
2010s,National,48,4.824120603015075
2010s,OpEd,43,4.321608040201005
2010s,Editorial,37,3.7185929648241203
2010s,Culture,23,2.3115577889447234
2010s,Metro,22,2.21105527638191
2010s,Washington,17,1.7085427135678393
2010s,Science,13,1.306532663316583
2010s,Magazine,9,0.9045226130653266
2010s,Styles,7,0.7035175879396985
2010s,Weekend,7,0.7035175879396985
2010s,SundayBusiness,6,0.6030150753768844
2010s,Arts&Leisure,4,0.4020100502512563
2010s,Society,4,0.4020100502512563
2010s,BookReview,3,0.3015075376884422
2010s,Politics,3,0.3015075376884422
2010s,Learning,3,0.3015075376884422
2010s,EdLife,2,0.20100502512562815
2010s,TStyle,2,0.20100502512562815
2010s,Insider,2,0.20100502512562815
2010s,Climate,2,0.20100502512562815
2010s,Upshot,2,0.20100502512562815
2010s,Express,2,0.20100502512562815
2010s,RealEstate,1,0.10050251256281408
2010s,SpecialSections,1,0.10050251256281408
2010s,Podcasts,1,0.10050251256281408
2010s,NewsDesk,1,0.10050251256281408
2020s,Business,115,22.63779527559055
2020s,Foreign,103,20.275590551181104
2020s,Unknown,96,18.89763779527559
2020s,Washington,50,9.84251968503937
2020s,OpEd,39,7.677165354330709
2020s,Science,12,2.3622047244094486
2020s,Climate,11,2.1653543307086616
2020s,Culture,8,1.574803149606299
2020s,National,8,1.574803149606299
2020s,Politics,8,1.574803149606299
2020s,Metro,7,1.3779527559055118
2020s,SpecialSections,7,1.3779527559055118
2020s,Express,7,1.3779527559055118
2020s,SundayBusiness,6,1.1811023622047243
2020s,Election Analytics,5,0.984251968503937
2020s,TStyle,4,0.7874015748031495
2020s,Learning,4,0.7874015748031495
2020s,Magazine,4,0.7874015748031495
2020s,Styles,2,0.39370078740157477
2020s,Podcasts,2,0.39370078740157477
2020s,Upshot,2,0.39370078740157477
2020s,Editorial,1,0.19685039370078738
2020s,Well,1,0.19685039370078738
2020s,Summary,1,0.19685039370078738
2020s,Investigative,1,0.19685039370078738
2020s,Arts&Leisure,1,0.19685039370078738
2020s,Weekend,1,0.19685039370078738
2020s,Books,1,0.19685039370078738
2020s,Metropolitan,1,0.19685039370078738
