year,news_desk,articles,percent_articles
1990,Financial Desk,3,27.27272727272727
1990,Editorial Desk,2,18.181818181818183
1990,Long Island Weekly Desk,1,9.090909090909092
1990,Connecticut Weekly Desk,1,9.090909090909092
1990,Entertaining Magazine,1,9.090909090909092
1990,Magazine Desk,1,9.090909090909092
1990,New Jersey Weekly Desk,1,9.090909090909092
1990,Unknown,1,9.090909090909092
1991,IHT News,5,50.0
1991,Home Desk,1,10.0
1991,Education Life Supplement,1,10.0
1991,Editorial Desk,1,10.0
1991,Connecticut Weekly Desk,1,10.0
1991,Entertaining Magazine,1,10.0
1992,IHT News,7,38.88888888888889
1992,Editorial Desk,3,16.666666666666664
1992,Connecticut Weekly Desk,3,16.666666666666664
1992,Book Review Desk,2,11.11111111111111
1992,Magazine Desk,1,5.555555555555555
1992,Financial Desk,1,5.555555555555555
1992,Long Island Weekly Desk,1,5.555555555555555
1993,IHT News,21,80.76923076923077
1993,New Jersey Weekly Desk,1,3.8461538461538463
1993,Editorial Desk,1,3.8461538461538463
1993,Book Review Desk,1,3.8461538461538463
1993,Long Island Weekly Desk,1,3.8461538461538463
1993,Connecticut Weekly Desk,1,3.8461538461538463
1994,IHT News,11,64.70588235294117
1994,Magazine Desk,1,5.88235294117647
1994,Westchester Weekly Desk,1,5.88235294117647
1994,Editorial Desk,1,5.88235294117647
1994,Connecticut Weekly Desk,1,5.88235294117647
1994,New Jersey Weekly Desk,1,5.88235294117647
1994,Long Island Weekly Desk,1,5.88235294117647
1995,IHT News,13,65.0
1995,Magazine Desk,1,5.0
1995,Book Review Desk,1,5.0
1995,Editorial Desk,1,5.0
1995,Business/Financial Desk;,1,5.0
1995,The City Weekly Desk,1,5.0
1995,Arts and Leisure Desk,1,5.0
1995,Unknown,1,5.0
1996,IHT News,17,36.17021276595745
1996,Unknown,12,25.53191489361702
1996,Foreign Desk,3,6.382978723404255
1996,Metropolitan Desk,3,6.382978723404255
1996,Editorial Desk,3,6.382978723404255
1996,Money and Business/Financial Desk,2,4.25531914893617
1996,National Desk,2,4.25531914893617
1996,The City Weekly Desk,1,2.127659574468085
1996,Weekend Desk,1,2.127659574468085
1996,Business/Financial Desk,1,2.127659574468085
1996,New Jersey Weekly Desk,1,2.127659574468085
1996,Arts and Leisure Desk,1,2.127659574468085
1997,Foreign Desk,22,26.82926829268293
1997,Unknown,13,15.853658536585366
1997,Business/Financial Desk,12,14.634146341463413
1997,IHT News,12,14.634146341463413
1997,Editorial Desk,7,8.536585365853659
1997,National Desk,3,3.6585365853658534
1997,Home Desk,2,2.4390243902439024
1997,Metropolitan Desk,2,2.4390243902439024
1997,Money and Business/Financial Desk,2,2.4390243902439024
1997,Cultural Desk,2,2.4390243902439024
1997,Magazine Desk,1,1.2195121951219512
1997,Sophisticated Traveler Magazine,1,1.2195121951219512
1997,Connecticut Weekly Desk,1,1.2195121951219512
