decade,section,articles,percent_articles
1990s,World,90,23.13624678663239
1990s,Opinion,88,22.62210796915167
1990s,Business,65,16.709511568123396
1990s,New York,35,8.997429305912597
1990s,Archives,26,6.683804627249357
1990s,Unknown,17,4.370179948586118
1990s,U.S.,13,3.3419023136246784
1990s,Arts,12,3.0848329048843186
1990s,Magazine,11,2.827763496143959
1990s,Home & Garden,8,2.056555269922879
1990s,Your Money,6,1.5424164524421593
1990s,Books,4,1.0282776349614395
1990s,Movies,4,1.0282776349614395
1990s,T Magazine,3,0.7712082262210797
1990s,Education,3,0.7712082262210797
1990s,Science,3,0.7712082262210797
1990s,Health,1,0.2570694087403599
2000s,World,214,32.57229832572298
2000s,Business,160,24.3531202435312
2000s,Opinion,80,12.1765601217656
2000s,U.S.,39,5.93607305936073
2000s,Arts,34,5.175038051750381
2000s,New York,32,4.87062404870624
2000s,Archives,25,3.8051750380517504
2000s,Magazine,8,1.21765601217656
2000s,Home & Garden,7,1.06544901065449
2000s,Science,7,1.06544901065449
2000s,Technology,7,1.06544901065449
2000s,Movies,6,0.91324200913242
2000s,Education,6,0.91324200913242
2000s,Health,6,0.91324200913242
2000s,Blogs,6,0.91324200913242
2000s,Your Money,4,0.60882800608828
2000s,Theater,3,0.45662100456621
2000s,Books,3,0.45662100456621
2000s,Automobiles,3,0.45662100456621
2000s,Fashion,2,0.30441400304414
2000s,Unknown,1,0.15220700152207
2000s,The Learning Network,1,0.15220700152207
2000s,Obituaries,1,0.15220700152207
2000s,Washington,1,0.15220700152207
2000s,Gameplay,1,0.15220700152207
2010s,World,361,36.281407035175874
2010s,Business,273,27.43718592964824
2010s,Opinion,86,8.64321608040201
2010s,U.S.,84,8.442211055276381
2010s,Technology,30,3.015075376884422
2010s,Arts,29,2.9145728643216082
2010s,New York,24,2.4120603015075375
2010s,Science,22,2.21105527638191
2010s,Magazine,10,1.0050251256281406
2010s,Fashion,9,0.9045226130653266
2010s,Movies,8,0.8040201005025126
2010s,Blogs,8,0.8040201005025126
2010s,Health,7,0.7035175879396985
2010s,Books,7,0.7035175879396985
2010s,Gameplay,5,0.5025125628140703
2010s,Education,5,0.5025125628140703
2010s,Automobiles,4,0.4020100502512563
2010s,The Upshot,4,0.4020100502512563
2010s,T Magazine,3,0.3015075376884422
2010s,Your Money,3,0.3015075376884422
2010s,The Learning Network,3,0.3015075376884422
2010s,Great Homes & Destinations,2,0.20100502512562815
2010s,Times Insider,2,0.20100502512562815
2010s,Climate,2,0.20100502512562815
2010s,Giving,1,0.10050251256281408
2010s,Times Topics,1,0.10050251256281408
2010s,Podcasts,1,0.10050251256281408
2010s,Reader Center,1,0.10050251256281408
2020s,World,156,30.708661417322837
2020s,Business,134,26.37795275590551
2020s,U.S.,78,15.354330708661418
2020s,Opinion,41,8.070866141732283
2020s,Technology,21,4.133858267716536
2020s,Arts,13,2.559055118110236
2020s,Climate,12,2.3622047244094486
2020s,New York,10,1.968503937007874
2020s,Science,9,1.7716535433070866
2020s,Health,7,1.3779527559055118
2020s,Fashion,6,1.1811023622047243
2020s,The Learning Network,5,0.984251968503937
2020s,Magazine,5,0.984251968503937
2020s,T Magazine,4,0.7874015748031495
2020s,Podcasts,2,0.39370078740157477
2020s,The Upshot,2,0.39370078740157477
2020s,Well,1,0.19685039370078738
2020s,Times Insider,1,0.19685039370078738
2020s,Books,1,0.19685039370078738
