year,articles,securitization_index,economic_security_overlap_rate,conflict_vs_engagement_ratio
1990,11,0.16923076923076924,0.42857142857142855,0.45454545454545453
1991,10,0.4,0.0,0.21052631578947367
1992,18,0.5555555555555556,0.42857142857142855,0.8
1993,26,0.6,0.125,1.0
1994,17,0.4666666666666667,0.25,0.8
1995,20,0.5517241379310345,0.2222222222222222,1.0
1996,47,0.30158730158730157,0.125,0.56
1997,82,0.3805970149253731,0.28125,0.4318181818181818
1998,85,0.4304635761589404,0.16666666666666666,0.36363636363636365
1999,73,0.6074766355140186,0.24,0.1590909090909091
2000,85,1.4615384615384615,0.2962962962962963,0.515625
2001,67,1.361344537815126,0.32,0.8484848484848485
2002,77,0.26587301587301587,0.1956521739130435,0.8780487804878049
2003,93,0.483739837398374,0.06976744186046512,0.2976190476190476
2004,79,0.28440366972477066,0.24242424242424243,0.775
2005,64,0.3486590038314176,0.21052631578947367,0.984375
2006,59,0.532608695652174,0.15789473684210525,0.7272727272727273
2007,46,0.3972602739726027,0.10526315789473684,0.9166666666666666
2008,32,0.2,0.058823529411764705,1.0
2009,55,0.22784810126582278,0.08,1.2142857142857142
2010,92,0.1925925925925926,0.05405405405405406,0.875
2011,95,0.3815789473684211,0.16326530612244897,1.3043478260869565
2012,103,0.15483870967741936,0.06382978723404255,0.375
2013,98,0.34146341463414637,0.09302325581395349,0.21739130434782608
2014,114,0.71875,0.34285714285714286,1.103448275862069
2015,100,0.4161073825503356,0.17391304347826086,0.5
2016,106,0.5298507462686567,0.12195121951219512,0.5806451612903226
2017,99,0.589041095890411,0.24390243902439024,0.4791666666666667
2018,91,0.6086956521739131,0.2894736842105263,1.1458333333333333
2019,97,0.7560975609756098,0.35294117647058826,1.0714285714285714
2020,90,0.8765432098765432,0.15625,1.2105263157894737
2021,87,0.5333333333333333,0.18518518518518517,1.0625
2022,46,0.7678571428571429,0.35294117647058826,2.090909090909091
2023,89,0.8714285714285714,0.275,0.6440677966101694
2024,97,0.5882352941176471,0.3235294117647059,0.6666666666666666
2025,99,0.6808510638297872,0.32075471698113206,1.523076923076923
