decade,term_a,term_b,similarity,note
1990s,trade,security,0.40859789408314495,
1990s,trade,competition,0.1861531648177033,
1990s,market,security,0.22209665206994186,
1990s,investment,security,0.23603339151075,
1990s,technology,security,0.2532754819815752,
1990s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
1990s,chip,security,,one_or_both_terms_not_in_vocabulary
1990s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
1990s,china,security,0.33025960869373233,
1990s,china,trade,0.5658724310080382,
1990s,china,competition,0.20641418642780854,
2000s,trade,security,0.473349324836735,
2000s,trade,competition,0.47317327183439445,
2000s,market,security,0.3697051038656384,
2000s,investment,security,0.2866622966466812,
2000s,technology,security,0.386163813604842,
2000s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
2000s,chip,security,,one_or_both_terms_not_in_vocabulary
2000s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
2000s,china,security,0.540790398152321,
2000s,china,trade,0.647079661119403,
2000s,china,competition,0.38292702257289335,
2010s,trade,security,0.42343590365143313,
2010s,trade,competition,0.24000656874583964,
2010s,market,security,0.3798771307210732,
2010s,investment,security,0.17302258956364477,
2010s,technology,security,0.4441750492448105,
2010s,semiconductor,security,0.21470059256115276,
2010s,chip,security,,one_or_both_terms_not_in_vocabulary
2010s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
2010s,china,security,0.43341938693480164,
2010s,china,trade,0.5722511538219917,
2010s,china,competition,0.28701773000801806,
2020s,trade,security,0.26667653525946966,
2020s,trade,competition,0.32689694484408827,
2020s,market,security,0.21106585555977891,
2020s,investment,security,0.18094454154047548,
2020s,technology,security,0.43431456606627816,
2020s,semiconductor,security,0.3154062937313466,
2020s,chip,security,0.09416510528024943,
2020s,supply_chain,security,0.25892419868379296,
2020s,china,security,0.3696994024532464,
2020s,china,trade,0.43507706130981894,
2020s,china,competition,0.25846111028136504,
