year,articles,technology_only_articles,technology_economy_articles,technology_security_articles,technology_economy_security_articles,percent_technology_only,percent_technology_economy,percent_technology_security,percent_technology_economy_security
1990,11,0,0,0,0,0.0,0.0,0.0,0.0
1991,10,0,0,0,0,0.0,0.0,0.0,0.0
1992,18,0,0,0,0,0.0,0.0,0.0,0.0
1993,26,1,1,3,1,3.8461538461538463,3.8461538461538463,11.538461538461538,3.8461538461538463
1994,17,0,0,0,0,0.0,0.0,0.0,0.0
1995,20,0,1,0,0,0.0,5.0,0.0,0.0
1996,47,0,2,1,0,0.0,4.25531914893617,2.127659574468085,0.0
1997,82,1,4,4,2,1.2195121951219512,4.878048780487805,4.878048780487805,2.4390243902439024
1998,85,1,4,4,1,1.1764705882352942,4.705882352941177,4.705882352941177,1.1764705882352942
1999,73,0,4,2,0,0.0,5.47945205479452,2.73972602739726,0.0
2000,85,1,8,4,1,1.1764705882352942,9.411764705882353,4.705882352941177,1.1764705882352942
2001,67,1,2,3,2,1.4925373134328357,2.9850746268656714,4.477611940298507,2.9850746268656714
2002,77,1,4,1,1,1.2987012987012987,5.194805194805195,1.2987012987012987,1.2987012987012987
2003,93,1,5,2,1,1.0752688172043012,5.376344086021505,2.1505376344086025,1.0752688172043012
2004,79,3,1,0,0,3.79746835443038,1.2658227848101267,0.0,0.0
2005,64,2,2,1,1,3.125,3.125,1.5625,1.5625
2006,59,1,3,1,1,1.694915254237288,5.084745762711865,1.694915254237288,1.694915254237288
2007,46,0,1,3,0,0.0,2.1739130434782608,6.521739130434782,0.0
2008,32,1,0,0,0,3.125,0.0,0.0,0.0
2009,55,2,4,1,0,3.6363636363636362,7.2727272727272725,1.8181818181818181,0.0
2010,92,5,8,3,0,5.434782608695652,8.695652173913043,3.260869565217391,0.0
2011,95,6,5,3,2,6.315789473684211,5.263157894736842,3.1578947368421053,2.1052631578947367
2012,103,4,4,2,0,3.8834951456310676,3.8834951456310676,1.9417475728155338,0.0
2013,98,2,7,1,0,2.0408163265306123,7.142857142857142,1.0204081632653061,0.0
2014,114,0,4,3,3,0.0,3.508771929824561,2.631578947368421,2.631578947368421
2015,100,4,4,2,2,4.0,4.0,2.0,2.0
2016,106,1,5,1,0,0.9433962264150944,4.716981132075472,0.9433962264150944,0.0
2017,99,5,7,2,1,5.05050505050505,7.07070707070707,2.0202020202020203,1.0101010101010102
2018,91,9,4,0,0,9.89010989010989,4.395604395604396,0.0,0.0
2019,97,5,12,5,4,5.154639175257731,12.371134020618557,5.154639175257731,4.123711340206185
2020,90,1,7,3,1,1.1111111111111112,7.777777777777778,3.3333333333333335,1.1111111111111112
2021,87,3,10,3,2,3.4482758620689653,11.494252873563218,3.4482758620689653,2.2988505747126435
2022,46,0,4,2,1,0.0,8.695652173913043,4.3478260869565215,2.1739130434782608
2023,89,2,12,12,6,2.247191011235955,13.48314606741573,13.48314606741573,6.741573033707865
2024,97,6,14,7,5,6.185567010309279,14.432989690721648,7.216494845360824,5.154639175257731
2025,99,0,9,7,4,0.0,9.090909090909092,7.07070707070707,4.040404040404041
