decade,rank,keyword,tfidf
1990s,1,rense,0.2610996734429209
1990s,2,hong_kong,0.1728578283337635
1990s,3,international,0.16472334229452756
1990s,4,clinton,0.15353842399057818
1990s,5,ad,0.1275065706715353
1990s,6,united_states,0.11693323681401649
1990s,7,world,0.115916426059112
1990s,8,us,0.10879875077478056
1990s,9,government,0.09354658945121319
1990s,10,trade,0.08947934643159522
1990s,11,house,0.08846253567669074
1990s,12,economic,0.08134486039235929
1990s,13,beijing,0.07931123888255032
1990s,14,photos,0.07710974210163843
1990s,15,magazine,0.07524399586293234
1990s,16,foreign,0.07321037435312336
1990s,17,american,0.07321037435312336
1990s,18,relations,0.07219356359821888
1990s,19,political,0.0691431313335054
1990s,20,knapp,0.0681976758992704
1990s,21,nations,0.06710950982369641
1990s,22,paige,0.06624917087357694
1990s,23,market,0.06304226680407846
1990s,24,officials,0.06202545604917396
1990s,25,human_rights,0.06100864529426947
1990s,26,asia,0.06100864529426947
1990s,27,million,0.06100864529426947
1990s,28,former,0.05592459151974701
1990s,29,renses,0.0545581407194163
1990s,30,hong_kongs,0.053767831006069106
2000s,1,pm,0.24170024790602304
2000s,2,street,0.19601899824224323
2000s,3,us,0.16271214895874228
2000s,4,th street,0.15508718315986764
2000s,5,tomorrow,0.13602178453585712
2000s,6,international,0.1354114528247251
2000s,7,th,0.13431942497936444
2000s,8,world,0.13322739713400375
2000s,9,united_states,0.1250371882937986
2000s,10,american,0.12230711868039688
2000s,11,government,0.10756474276802762
2000s,12,korea,0.1037426453092652
2000s,13,west th,0.10044685627263295
2000s,14,west,0.09773649215978143
2000s,15,percent,0.09555243646906006
2000s,16,trade,0.09500642254637971
2000s,17,north,0.09063831116493698
2000s,18,tonight,0.08998364207756701
2000s,19,photos,0.08348167605677966
2000s,20,bush,0.08244810232473182
2000s,21,art,0.08190208840205149
2000s,22,theater,0.08026404663401045
2000s,23,company,0.07971803271133011
2000s,24,economic,0.07644194917524805
2000s,25,south,0.0720738377938053
2000s,26,nations,0.07152782387112495
2000s,27,east,0.06715971248968222
2000s,28,japan,0.06715971248968222
2000s,29,market,0.0644296428762805
2000s,30,foreign,0.0644296428762805
2010s,1,united_states,0.27461738407203184
2010s,2,international,0.20894800962002422
2010s,3,trump,0.19715663097771843
2010s,4,government,0.18506823709202144
2010s,5,world,0.15521852143201798
2010s,6,president,0.13133874890401523
2010s,7,trade,0.12835377733801487
2010s,8,economic,0.11716013396551357
2010s,9,us,0.11193643372501297
2010s,10,politics,0.10969770505051271
2010s,11,relations,0.09999654746101158
2010s,12,obama,0.09584002894750203
2010s,13,politics government,0.09253411854601072
2010s,14,international relations,0.09029538987151046
2010s,15,hong_kong,0.08954914698001037
2010s,16,xi_jinping,0.08794054479846126
2010s,17,korea,0.08656417541401003
2010s,18,beijing,0.08581793252250994
2010s,19,market,0.08507168963100986
2010s,20,north,0.08507168963100986
2010s,21,company,0.08357920384800968
2010s,22,manufacturing,0.08123583406026362
2010s,23,global,0.08059423228200933
2010s,24,economy,0.07760926071600899
2010s,25,movie,0.07611677493300882
2010s,26,military,0.07462428915000864
2010s,27,group,0.07387804625850856
2010s,28,american,0.07387804625850856
2010s,29,inc,0.07387804625850856
2010s,30,donald,0.0716393175840083
2020s,1,trump,0.2667897526462722
2020s,2,united_states,0.2544711216326346
2020s,3,biden,0.22969945765844435
2020s,4,government,0.20043285256006738
2020s,5,covid,0.18507036895281945
2020s,6,international,0.17685251696476534
2020s,7,politics,0.15720223730201363
2020s,8,politics government,0.14442955552122502
2020s,9,us,0.1404994995886747
2020s,10,president,0.13558692967298677
2020s,11,world,0.12969184577416126
2020s,12,relations,0.1267443038247485
2020s,13,ukraine,0.11536854168487445
2020s,14,covid ncov,0.11484972882922218
2020s,15,ncov,0.11484972882922218
2020s,16,international relations,0.1129891080608223
2020s,17,biden joseph,0.10731859906992892
2020s,18,joseph jr,0.10543581663010561
2020s,19,united_states politics,0.10214922961681591
2020s,20,trump donald,0.0985439626891636
2020s,21,donald,0.09530385636434577
2020s,22,war,0.08940877246552026
2020s,23,trade,0.0864612305161075
2020s,24,russia,0.08547871653296991
2020s,25,xi_jinping,0.07570477237306517
2020s,26,united_states international,0.07172352076904372
2020s,27,invasion ukraine,0.07154573271328596
2020s,28,country,0.07074100678590614
2020s,29,inc,0.06975849280276855
2020s,30,market,0.06779346483649339
