decade,theme,articles_with_theme,percent_articles,term_mentions,term_mentions_per_1000_words
1990s,economy_trade,131,33.67609254498715,462,14.42217643753512
1990s,diplomacy_us,140,35.98971722365039,515,16.076668539676593
1990s,human_rights,59,15.167095115681233,161,5.025909970656178
1990s,military_security,62,15.938303341902312,167,5.213210963351439
1990s,technology_surveillance,27,6.940874035989718,58,1.810576262720859
1990s,public_health_covid,11,2.827763496143959,22,0.6867703065492914
1990s,domestic_politics,146,37.53213367609254,427,13.32958731347943
1990s,territory_identity,76,19.53727506426735,290,9.052881313604296
2000s,economy_trade,263,40.03044140030441,1186,18.969019400860486
2000s,diplomacy_us,246,37.44292237442922,1011,16.170049421812774
2000s,human_rights,60,9.1324200913242,170,2.7189994082177757
2000s,military_security,131,19.93911719939117,578,9.244597987940438
2000s,technology_surveillance,39,5.93607305936073,95,1.5194408457687572
2000s,public_health_covid,26,3.95738203957382,81,1.2955232474449403
2000s,domestic_politics,226,34.39878234398782,706,11.291844601186764
2000s,territory_identity,73,11.11111111111111,241,3.854581514002847
2010s,economy_trade,371,37.286432160804026,1105,27.386735402002575
2010s,diplomacy_us,339,34.07035175879397,863,21.388916427084364
2010s,human_rights,110,11.055276381909549,242,5.997818974918212
2010s,military_security,162,16.281407035175878,417,10.335084762565678
2010s,technology_surveillance,103,10.35175879396985,201,4.981659561812234
2010s,public_health_covid,16,1.6080402010050252,30,0.7435312778824229
2010s,domestic_politics,410,41.20603015075377,951,23.569941508872805
2010s,territory_identity,87,8.743718592964825,250,6.196093982353525
2020s,economy_trade,178,35.039370078740156,542,24.191028788216915
2020s,diplomacy_us,257,50.59055118110236,766,34.18879714349476
2020s,human_rights,32,6.299212598425196,56,2.49944208881946
2020s,military_security,114,22.440944881889763,331,14.773488060700736
2020s,technology_surveillance,59,11.614173228346457,129,5.757643383173399
2020s,public_health_covid,96,18.89763779527559,267,11.91698281633564
2020s,domestic_politics,267,52.55905511811023,676,30.17183664360634
2020s,territory_identity,32,6.299212598425196,80,3.5706315554563712
