decade,rank,bigram,count,per_1000_bigrams
1990s,1,international relations,46,1.4536261652709748
1990s,2,united_states international,42,1.3272238900300206
1990s,3,clinton administration,34,1.0744193395481119
1990s,4,clinton bill,34,1.0744193395481119
1990s,5,politics government,33,1.0428187707378733
1990s,6,united nations,28,0.8848159266866804
1990s,7,biographical information,24,0.758413651445726
1990s,8,international trade,23,0.7268130826354874
1990s,9,trade world,23,0.7268130826354874
1990s,10,world market,23,0.7268130826354874
1990s,11,architectural digest,23,0.7268130826354874
1990s,12,conditions trends,23,0.7268130826354874
1990s,13,freedom human_rights,22,0.695212513825249
1990s,14,economic conditions,21,0.6636119450150103
1990s,15,south korea,19,0.6004108073945331
1990s,16,great britain,17,0.5372096697740559
1990s,17,north korea,17,0.5372096697740559
1990s,18,chinainternational relationsus,15,0.4740085321535788
1990s,19,white house,14,0.4424079633433402
1990s,20,paige rense,14,0.4424079633433402
2000s,1,th street,188,3.038825849416481
2000s,2,north korea,108,1.7457084666860634
2000s,3,west th,96,1.551740859276501
2000s,4,international relations,83,1.341609284582808
2000s,5,south korea,70,1.1314777098891153
2000s,6,united_states international,64,1.0344939061843337
2000s,7,united nations,58,0.9375101024795526
2000s,8,international trade,58,0.9375101024795526
2000s,9,conditions trends,57,0.9213461351954223
2000s,10,politics government,56,0.9051821679112921
2000s,11,trade world,52,0.8405262987747713
2000s,12,world market,52,0.8405262987747713
2000s,13,economic conditions,49,0.7920343969223806
2000s,14,armament defense,45,0.7273785277858598
2000s,15,missile defense,45,0.7273785277858598
2000s,16,street manhattan,42,0.678886625933469
2000s,17,chief executive,40,0.6465586913652087
2000s,18,european union,39,0.6303947240810784
2000s,19,bush george,38,0.6142307567969483
2000s,20,tonight tomorrow,38,0.6142307567969483
2010s,1,politics government,124,3.1509668894366376
2010s,2,international relations,121,3.074733819530912
2010s,3,united_states international,87,2.210759027266028
2010s,4,international trade,72,1.8295936777374024
2010s,5,world market,72,1.8295936777374024
2010s,6,trump donald,72,1.8295936777374024
2010s,7,trade world,71,1.8041826544354942
2010s,8,north korea,70,1.7787716311335857
2010s,9,united_states politics,70,1.7787716311335857
2010s,10,conditions trends,63,1.6008944680202273
2010s,11,economic conditions,62,1.5754834447183188
2010s,12,south korea,46,1.1689070718877848
2010s,13,defense military,46,1.1689070718877848
2010s,14,military forces,46,1.1689070718877848
2010s,15,european union,41,1.041851955378243
2010s,16,obama barack,39,0.9910299087744264
2010s,17,factories manufacturing,39,0.9910299087744264
2010s,18,president trump,39,0.9910299087744264
2010s,19,presidential election,35,0.8893858155667929
2010s,20,united_states economy,34,0.8639747922648845
2020s,1,politics government,147,6.713248390190437
2020s,2,international relations,115,5.25186098552313
2020s,3,united_states politics,85,3.8818102936475314
2020s,4,trump donald,82,3.744805224459972
2020s,5,united_states international,73,3.333790016897292
2020s,6,covid ncov,61,2.7857697401470523
2020s,7,biden joseph,57,2.6030963145636385
2020s,8,joseph jr,56,2.5574279581677857
2020s,9,international trade,50,2.283417819792666
2020s,10,trade world,50,2.283417819792666
2020s,11,world market,50,2.283417819792666
2020s,12,president trump,43,1.9637393250216926
2020s,13,invasion ukraine,38,1.735397543042426
2020s,14,defense military,34,1.5527241174590127
2020s,15,military forces,34,1.5527241174590127
2020s,16,presidential election,30,1.3700506918755995
2020s,17,russian invasion,30,1.3700506918755995
2020s,18,economic conditions,26,1.1873772662921862
2020s,19,conditions trends,26,1.1873772662921862
2020s,20,factories manufacturing,25,1.141708909896333
