decade,rank,word,count,per_1000_words
1990s,1,hong_kong,170,5.30686145969907
1990s,2,international,162,5.057126802772055
1990s,3,clinton,151,4.7137416494974085
1990s,4,rense,134,4.183055503527503
1990s,5,united_states,115,3.5899356933258413
1990s,6,world,114,3.558718861209964
1990s,7,us,107,3.340201036398826
1990s,8,government,92,2.871948554660673
1990s,9,trade,88,2.7470812261971655
1990s,10,house,87,2.7158643940812888
1990s,11,ad,83,2.590997065617781
1990s,12,economic,80,2.497346569270151
1990s,13,beijing,78,2.434912905038397
1990s,14,magazine,74,2.3100455765748893
1990s,15,foreign,72,2.2476119123431357
1990s,16,american,72,2.2476119123431357
1990s,17,relations,71,2.2163950802272585
1990s,18,political,68,2.122744583879628
1990s,19,nations,66,2.060310919647874
1990s,20,market,62,1.9354435911843666
1990s,21,photos,62,1.9354435911843666
1990s,22,officials,61,1.9042267590684896
1990s,23,human_rights,60,1.8730099269526128
1990s,24,million,60,1.8730099269526128
1990s,25,asia,60,1.8730099269526128
1990s,26,former,55,1.7169257663732282
1990s,27,people,52,1.6232752700255977
1990s,28,bill,51,1.592058437909721
1990s,29,long,50,1.560841605793844
1990s,30,president,49,1.5296247736779671
1990s,31,work,49,1.5296247736779671
1990s,32,city,49,1.5296247736779671
1990s,33,part,48,1.4984079415620901
1990s,34,administration,46,1.4359742773303366
1990s,35,state,46,1.4359742773303366
1990s,36,russia,46,1.4359742773303366
1990s,37,public,45,1.4047574452144598
1990s,38,taiwan,45,1.4047574452144598
1990s,39,next,44,1.3735406130985828
1990s,40,information,44,1.3735406130985828
2000s,1,street,359,5.741886985589303
2000s,2,us,298,4.766246021464101
2000s,3,international,248,3.9665403131647556
2000s,4,th,246,3.9345520848327813
2000s,5,world,244,3.902563856500808
2000s,6,pm,231,3.694640372342978
2000s,7,united_states,229,3.662652144011004
2000s,8,american,224,3.5826815731810693
2000s,9,government,197,3.150840490699423
2000s,10,korea,190,3.0388816915375143
2000s,11,west,179,2.862946435711658
2000s,12,percent,175,2.7989699790477105
2000s,13,trade,174,2.7829758648817235
2000s,14,north,166,2.6550229515538284
2000s,15,bush,151,2.4151112390640246
2000s,16,art,150,2.399117124898037
2000s,17,theater,147,2.351134782400077
2000s,18,company,146,2.33514066823409
2000s,19,economic,140,2.239175983238168
2000s,20,south,132,2.111223069910273
2000s,21,nations,131,2.095228955744286
2000s,22,tomorrow,130,2.0792348415782995
2000s,23,photos,125,1.9992642707483643
2000s,24,japan,123,1.9672760424163906
2000s,25,east,123,1.9672760424163906
2000s,26,foreign,118,1.8873054715864561
2000s,27,market,118,1.8873054715864561
2000s,28,people,117,1.8713113574204694
2000s,29,defense,115,1.8393231290884955
2000s,30,sunday,112,1.7913407865905346
2000s,31,war,107,1.7113702157606
2000s,32,political,104,1.6633878732626395
2000s,33,july,103,1.6473937590966523
2000s,34,countries,100,1.5994114165986917
2000s,35,relations,99,1.5834173024327047
2000s,36,officials,98,1.5674231882667178
2000s,37,billion,95,1.5194408457687572
2000s,38,hong_kong,94,1.5034467316027702
2000s,39,economy,91,1.4554643891048094
2000s,40,manhattan,90,1.4394702749388226
2010s,1,united_states,368,9.120650342024387
2010s,2,international,280,6.939625260235947
2010s,3,government,248,6.146525230494696
2010s,4,trump,216,5.3534252007534455
2010s,5,world,208,5.155150193318132
2010s,6,president,176,4.362050163576881
2010s,7,trade,172,4.262912659859224
2010s,8,economic,157,3.8911470209180132
2010s,9,us,150,3.717656389412115
2010s,10,politics,147,3.6433032616238723
2010s,11,relations,134,3.321106374541489
2010s,12,hong_kong,120,2.9741251115296916
2010s,13,korea,116,2.8749876078120353
2010s,14,beijing,115,2.850203231882621
2010s,15,market,114,2.8254188559532074
2010s,16,north,114,2.8254188559532074
2010s,17,company,112,2.7758501040943786
2010s,18,global,108,2.6767126003767228
2010s,19,obama,105,2.60235947258848
2010s,20,economy,104,2.577575096659066
2010s,21,movie,102,2.528006344800238
2010s,22,military,100,2.4784375929414098
2010s,23,american,99,2.4536532170119956
2010s,24,group,99,2.4536532170119956
2010s,25,inc,99,2.4536532170119956
2010s,26,south,96,2.3793000892237535
2010s,27,donald,96,2.3793000892237535
2010s,28,manufacturing,89,2.2058094577178546
2010s,29,defense,87,2.1562407058590263
2010s,30,people,86,2.131456329929612
2010s,31,japan,86,2.131456329929612
2010s,32,country,85,2.1066719540001984
2010s,33,communist_party,81,2.0075344502825416
2010s,34,state,79,1.9579656984237137
2010s,35,xi_jinping,78,1.9331813224942997
2010s,36,european,76,1.8836125706354714
2010s,37,russia,76,1.8836125706354714
2010s,38,asia,73,1.809259442847229
2010s,39,growth,73,1.809259442847229
2010s,40,human_rights,70,1.7349063150589867
2020s,1,united_states,259,11.559919660790003
2020s,2,trump,222,9.90850256639143
2020s,3,government,204,9.105110466413748
2020s,4,international,180,8.033920999776836
2020s,5,politics,160,7.1412631109127425
2020s,6,covid,154,6.873465744253515
2020s,7,us,143,6.382503905378264
2020s,8,president,138,6.15933943316224
2020s,9,world,132,5.891542066503013
2020s,10,relations,129,5.757643383173399
2020s,11,biden,122,5.4452131220709665
2020s,12,donald,97,4.32939076099085
2020s,13,ukraine,96,4.284757866547645
2020s,14,war,91,4.061593394331623
2020s,15,trade,88,3.9276947110020086
2020s,16,russia,87,3.883061816558804
2020s,17,country,72,3.2135683999107343
2020s,18,inc,71,3.16893550546753
2020s,19,market,69,3.07966971658112
2020s,20,global,67,2.990403927694711
2020s,21,jr,67,2.990403927694711
2020s,22,economy,65,2.9011381388083017
2020s,23,beijing,64,2.8565052443650973
2020s,24,military,64,2.8565052443650973
2020s,25,ncov,61,2.7226065610354833
2020s,26,joseph,61,2.7226065610354833
2020s,27,economic,60,2.6779736665922784
2020s,28,defense,57,2.544074983262665
2020s,29,company,52,2.3209105110466415
2020s,30,xi_jinping,51,2.276277616603437
2020s,31,american,50,2.2316447221602322
2020s,32,korea,49,2.1870118277170274
2020s,33,party,48,2.1423789332738226
2020s,34,election,46,2.0531131443874138
2020s,35,countries,45,2.008480249944209
2020s,36,climate,44,1.9638473555010043
2020s,37,presidential,44,1.9638473555010043
2020s,38,power,43,1.9192144610577997
2020s,39,hong_kong,42,1.874581566614595
2020s,40,administration,42,1.874581566614595
