decade,rank,keyword,count
1990s,1,china,79
1990s,2,united_states international relations,42
1990s,3,clinton,36
1990s,4,politics and government,33
1990s,5,bill,32
1990s,6,biographical information,24
1990s,7,hong_kong,24
1990s,8,international trade and world market,23
1990s,9,freedom and human_rights,22
1990s,10,economic conditions and trends,21
1990s,11,china-international relations-us,15
1990s,12,united_states,13
1990s,13,russia,13
1990s,14,great britain,13
1990s,15,finances,11
1990s,16,new york city,11
1990s,17,presidential election of 1996,11
1990s,18,elections,10
1990s,19,united nations,9
1990s,20,editorials,8
1990s,21,ethics,8
1990s,22,united_states armament and defense,8
1990s,23,foreign investments,7
1990s,24,stocks and bonds,7
1990s,25,world_trade_organization,7
1990s,26,currency,6
1990s,27,travel and vacations,6
1990s,28,motion pictures,6
1990s,29,beijing (china),6
1990s,30,political prisoners,5
2000s,1,china,130
2000s,2,united_states international relations,61
2000s,3,international trade and world market,52
2000s,4,economic conditions and trends,49
2000s,5,politics and government,46
2000s,6,bush,39
2000s,7,george w,37
2000s,8,japan,33
2000s,9,united_states armament and defense,32
2000s,10,atomic weapons,30
2000s,11,united nations,25
2000s,12,labor,25
2000s,13,terrorism,24
2000s,14,north korea,23
2000s,15,international relations,22
2000s,16,hong_kong,21
2000s,17,south korea,21
2000s,18,new york city,21
2000s,19,united_states economy,20
2000s,20,computers and the internet,19
2000s,21,europe,19
2000s,22,prices (fares,19
2000s,23,fees and rates),19
2000s,24,russia,17
2000s,25,stocks and bonds,17
2000s,26,freedom and human_rights,16
2000s,27,missiles and missile defense systems,16
2000s,28,united_states,16
2000s,29,iraq,16
2000s,30,demonstrations and riots,15
2010s,1,china,304
2010s,2,united_states international relations,86
2010s,3,trump,73
2010s,4,donald j,72
2010s,5,international trade and world market,71
2010s,6,united_states politics and government,69
2010s,7,economic conditions and trends,62
2010s,8,politics and government,55
2010s,9,communist_party of china,49
2010s,10,united_states,44
2010s,11,xi_jinping,44
2010s,12,obama,39
2010s,13,barack,39
2010s,14,factories and manufacturing,39
2010s,15,hong_kong,37
2010s,16,international relations,35
2010s,17,computers and the internet,33
2010s,18,united_states economy,32
2010s,19,russia,30
2010s,20,labor and jobs,30
2010s,21,north korea,29
2010s,22,demonstrations,28
2010s,23,stocks and bonds,27
2010s,24,human_rights and human_rights violations,27
2010s,25,japan,26
2010s,26,beijing (china),26
2010s,27,mergers,24
2010s,28,acquisitions and divestitures,24
2010s,29,defense and military forces,24
2010s,30,european union,23
2020s,1,china,125
2020s,2,united_states politics and government,85
2020s,3,trump,83
2020s,4,donald j,82
2020s,5,united_states international relations,72
2020s,6,politics and government,62
2020s,7,covid (2019-ncov),61
2020s,8,biden,57
2020s,9,joseph r jr,56
2020s,10,international trade and world market,50
2020s,11,international relations,43
2020s,12,russia,33
2020s,13,xi_jinping,31
2020s,14,united_states,30
2020s,15,russian invasion of ukraine (2022),30
2020s,16,economic conditions and trends,26
2020s,17,factories and manufacturing,25
2020s,18,global warming,23
2020s,19,united_states economy,22
2020s,20,electric and hybrid vehicles,21
2020s,21,defense and military forces,21
2020s,22,ukraine,21
2020s,23,customs (tariff),20
2020s,24,presidential election of 2024,20
2020s,25,communist_party of china,17
2020s,26,republican party,17
2020s,27,musk,17
2020s,28,prices (fares,16
2020s,29,fees and rates),16
2020s,30,elon,16
