decade,type_of_material,articles,percent_articles
1990s,News,172,44.2159383033419
1990s,Unknown,165,42.41645244215938
1990s,Op-Ed,23,5.912596401028278
1990s,Biography,8,2.056555269922879
1990s,Editorial,8,2.056555269922879
1990s,An Analysis; News Analysis,4,1.0282776349614395
1990s,Series,3,0.7712082262210797
1990s,Text,3,0.7712082262210797
1990s,Interview,2,0.5141388174807198
1990s,List,1,0.2570694087403599
2000s,News,430,65.44901065449011
2000s,Unknown,149,22.67884322678843
2000s,Op-Ed,23,3.50076103500761
2000s,Editorial,14,2.13089802130898
2000s,Schedule,8,1.21765601217656
2000s,Interview,6,0.91324200913242
2000s,Web Log,6,0.91324200913242
2000s,Text,5,0.76103500761035
2000s,An Analysis; News Analysis,4,0.60882800608828
2000s,Transcript,3,0.45662100456621
2000s,Summary,2,0.30441400304414
2000s,Series,2,0.30441400304414
2000s,Recipe,1,0.15220700152207
2000s,Special Report,1,0.15220700152207
2000s,Biography,1,0.15220700152207
2000s,Question,1,0.15220700152207
2000s,An Analysis; Military Analysis,1,0.15220700152207
2010s,News,729,73.26633165829146
2010s,Unknown,167,16.78391959798995
2010s,Op-Ed,51,5.125628140703518
2010s,Editorial,25,2.512562814070352
2010s,News Analysis,10,1.0050251256281406
2010s,Biography,4,0.4020100502512563
2010s,Schedule,4,0.4020100502512563
2010s,Question,3,0.3015075376884422
2010s,Special Report,1,0.10050251256281408
2010s,Interactive Feature,1,0.10050251256281408
2020s,News,359,70.66929133858267
2020s,Unknown,88,17.322834645669293
2020s,Op-Ed,38,7.480314960629922
2020s,Interactive Feature,13,2.559055118110236
2020s,News Analysis,5,0.984251968503937
2020s,Live Blog Post,3,0.5905511811023622
2020s,Editorial,2,0.39370078740157477
