year,type_of_material,articles,percent_articles
1990,News,8,72.72727272727273
1990,Op-Ed,2,18.181818181818183
1990,Unknown,1,9.090909090909092
1991,Unknown,5,50.0
1991,News,4,40.0
1991,Op-Ed,1,10.0
1992,Unknown,7,38.88888888888889
1992,News,5,27.77777777777778
1992,Op-Ed,3,16.666666666666664
1992,Biography,2,11.11111111111111
1992,Interview,1,5.555555555555555
1993,Unknown,21,80.76923076923077
1993,News,3,11.538461538461538
1993,Op-Ed,1,3.8461538461538463
1993,Biography,1,3.8461538461538463
1994,Unknown,11,64.70588235294117
1994,News,5,29.411764705882355
1994,Op-Ed,1,5.88235294117647
1995,Unknown,14,70.0
1995,News,3,15.0
1995,Series,1,5.0
1995,Op-Ed,1,5.0
1995,Biography,1,5.0
1996,Unknown,29,61.702127659574465
1996,News,15,31.914893617021278
1996,Op-Ed,2,4.25531914893617
1996,Editorial,1,2.127659574468085
1997,News,42,51.21951219512195
1997,Unknown,25,30.48780487804878
1997,Op-Ed,5,6.097560975609756
1997,An Analysis; News Analysis,3,3.6585365853658534
1997,Editorial,2,2.4390243902439024
1997,Text,2,2.4390243902439024
1997,Series,2,2.4390243902439024
1997,Biography,1,1.2195121951219512
1998,News,49,57.647058823529406
1998,Unknown,26,30.58823529411765
1998,Op-Ed,3,3.5294117647058822
1998,Editorial,3,3.5294117647058822
1998,Biography,2,2.3529411764705883
1998,An Analysis; News Analysis,1,1.1764705882352942
1998,Text,1,1.1764705882352942
1999,News,38,52.054794520547944
1999,Unknown,26,35.61643835616438
1999,Op-Ed,4,5.47945205479452
1999,Editorial,2,2.73972602739726
1999,List,1,1.36986301369863
1999,Biography,1,1.36986301369863
1999,Interview,1,1.36986301369863
2000,News,49,57.647058823529406
2000,Unknown,26,30.58823529411765
2000,Editorial,3,3.5294117647058822
2000,Text,3,3.5294117647058822
2000,Op-Ed,2,2.3529411764705883
2000,Recipe,1,1.1764705882352942
2000,Special Report,1,1.1764705882352942
2001,News,39,58.2089552238806
2001,Unknown,21,31.343283582089555
2001,Op-Ed,3,4.477611940298507
2001,Biography,1,1.4925373134328357
2001,Text,1,1.4925373134328357
2001,Question,1,1.4925373134328357
2001,Transcript,1,1.4925373134328357
2002,News,51,66.23376623376623
2002,Unknown,19,24.675324675324674
2002,Op-Ed,4,5.194805194805195
2002,Interview,2,2.5974025974025974
2002,An Analysis; News Analysis,1,1.2987012987012987
2003,News,62,66.66666666666666
2003,Unknown,23,24.731182795698924
2003,Op-Ed,4,4.301075268817205
2003,Editorial,2,2.1505376344086025
2003,An Analysis; News Analysis,1,1.0752688172043012
2003,Transcript,1,1.0752688172043012
2004,News,49,62.0253164556962
2004,Unknown,19,24.050632911392405
2004,Schedule,5,6.329113924050633
2004,Op-Ed,2,2.5316455696202533
2004,An Analysis; Military Analysis,1,1.2658227848101267
2004,Text,1,1.2658227848101267
2004,Summary,1,1.2658227848101267
2004,Editorial,1,1.2658227848101267
2005,News,40,62.5
