decade,term,count,per_article,per_1000_words
1990s,china,513,1.3187660668380463,14.639157606369318
1990s,chinese,161,0.4138817480719794,4.594355506092515
1990s,chinas,76,0.1953727506426735,2.1687640898324916
1990s,china_chinese_chinas_combined,750,1.9280205655526992,21.402277202294325
2000s,china,417,1.0719794344473008,14.470122839891735
2000s,chinese,141,0.36246786632390743,4.892775348740371
2000s,chinas,84,0.2159383033419023,2.9148448886112845
2000s,china_chinese_chinas_combined,642,1.6503856041131106,22.27774307724339
2010s,china,431,1.1079691516709511,25.125335198787454
2010s,chinese,119,0.3059125964010283,6.937157514282384
2010s,chinas,3,0.007712082262210797,0.17488632388947184
2010s,china_chinese_chinas_combined,553,1.4215938303341902,32.237379036959304
2020s,china,364,0.9357326478149101,19.9288256227758
2020s,chinese,54,0.13881748071979436,2.956474130851355
2020s,chinas,0,0.0,0.0
2020s,china_chinese_chinas_combined,418,1.0745501285347043,22.885299753627155
