year,articles,percent_with_economic_terms,percent_with_security_terms,percent_with_both_economic_and_security,among_economic_articles_percent_with_security,avg_economic_term_count_per_article,avg_security_term_count_per_article,security_per_economic_ratio,securitization_index,economic_security_overlap_rate,conflict_vs_engagement_ratio
1990,11,63.63636363636363,27.27272727272727,27.27272727272727,42.857142857142854,5.818181818181818,1.0,0.16923076923076924,0.16923076923076924,0.42857142857142855,0.45454545454545453
1991,10,20.0,10.0,0.0,0.0,0.4,0.2,0.4,0.4,0.0,0.21052631578947367
1992,18,38.88888888888889,27.77777777777778,16.666666666666664,42.857142857142854,1.4444444444444444,0.8333333333333334,0.5555555555555556,0.5555555555555556,0.42857142857142855,0.8
1993,26,30.76923076923077,26.923076923076923,3.8461538461538463,12.5,1.1153846153846154,0.6923076923076923,0.6,0.6,0.125,1.0
1994,17,47.05882352941176,23.52941176470588,11.76470588235294,25.0,1.7058823529411764,0.8235294117647058,0.4666666666666667,0.4666666666666667,0.25,0.8
1995,20,45.0,30.0,10.0,22.22222222222222,1.4,0.8,0.5517241379310345,0.5517241379310345,0.2222222222222222,1.0
1996,47,34.04255319148936,17.02127659574468,4.25531914893617,12.5,1.3191489361702127,0.40425531914893614,0.30158730158730157,0.30158730158730157,0.125,0.56
1997,82,39.02439024390244,21.951219512195124,10.975609756097562,28.125,1.6219512195121952,0.6219512195121951,0.3805970149253731,0.3805970149253731,0.28125,0.4318181818181818
1998,85,42.35294117647059,22.35294117647059,7.0588235294117645,16.666666666666664,1.7647058823529411,0.7647058823529411,0.4304635761589404,0.4304635761589404,0.16666666666666666,0.36363636363636365
1999,73,34.24657534246575,26.027397260273972,8.21917808219178,24.0,1.452054794520548,0.8904109589041096,0.6074766355140186,0.6074766355140186,0.24,0.1590909090909091
2000,60,30.0,31.666666666666664,6.666666666666667,22.22222222222222,1.4,2.05,1.4470588235294117,1.4470588235294117,0.2222222222222222,0.3877551020408163
2001,33,21.21212121212121,27.27272727272727,3.0303030303030303,14.285714285714285,0.8484848484848485,1.3333333333333333,1.5172413793103448,1.5172413793103448,0.14285714285714285,0.45454545454545453
2002,49,63.26530612244898,20.408163265306122,10.204081632653061,16.129032258064516,3.938775510204082,0.8163265306122449,0.20618556701030927,0.20618556701030927,0.16129032258064516,0.6176470588235294
2003,57,47.368421052631575,28.07017543859649,3.508771929824561,7.4074074074074066,3.3859649122807016,0.9649122807017544,0.28350515463917525,0.28350515463917525,0.07407407407407407,0.3125
2004,47,36.17021276595745,25.53191489361702,6.382978723404255,17.647058823529413,1.6808510638297873,1.0425531914893618,0.6125,0.6125,0.17647058823529413,0.625
2005,38,68.42105263157895,21.052631578947366,13.157894736842104,19.230769230769234,4.026315789473684,1.3421052631578947,0.33116883116883117,0.33116883116883117,0.19230769230769232,1.7777777777777777
2006,26,38.46153846153847,26.923076923076923,7.6923076923076925,20.0,1.0,0.8076923076923077,0.7777777777777778,0.7777777777777778,0.2,1.3333333333333333
2007,22,31.818181818181817,27.27272727272727,9.090909090909092,28.57142857142857,1.2272727272727273,0.6363636363636364,0.5,0.5,0.2857142857142857,0.75
2008,21,47.61904761904761,14.285714285714285,4.761904761904762,10.0,1.4285714285714286,0.5238095238095238,0.3548387096774194,0.3548387096774194,0.1,1.0
2009,36,44.44444444444444,11.11111111111111,2.7777777777777777,6.25,1.3333333333333333,0.25,0.1836734693877551,0.1836734693877551,0.0625,1.2857142857142858
2010,41,43.90243902439025,17.073170731707318,4.878048780487805,11.11111111111111,1.853658536585366,0.2926829268292683,0.15584415584415584,0.15584415584415584,0.1111111111111111,1.2222222222222223
2011,34,52.94117647058824,20.588235294117645,11.76470588235294,22.22222222222222,1.411764705882353,0.47058823529411764,0.32653061224489793,0.32653061224489793,0.2222222222222222,2.1666666666666665
2012,41,41.46341463414634,7.317073170731707,4.878048780487805,11.76470588235294,1.5121951219512195,0.14634146341463414,0.09523809523809523,0.09523809523809523,0.11764705882352941,0.4444444444444444
2013,48,47.91666666666667,18.75,6.25,13.043478260869565,1.9166666666666667,0.5625,0.2903225806451613,0.2903225806451613,0.13043478260869565,0.2857142857142857
2014,41,31.70731707317073,21.951219512195124,7.317073170731707,23.076923076923077,1.0731707317073171,0.5853658536585366,0.5333333333333333,0.5333333333333333,0.23076923076923078,0.875
2015,48,52.083333333333336,20.833333333333336,10.416666666666668,20.0,1.7291666666666667,0.6458333333333334,0.36904761904761907,0.36904761904761907,0.2,0.3125
2016,33,36.36363636363637,24.242424242424242,6.0606060606060606,16.666666666666664,1.6363636363636365,0.8787878787878788,0.5272727272727272,0.5272727272727272,0.16666666666666666,0.6666666666666666
2017,34,41.17647058823529,38.23529411764706,11.76470588235294,28.57142857142857,1.4411764705882353,1.6176470588235294,1.1,1.1,0.2857142857142857,0.65
2018,29,44.827586206896555,27.586206896551722,10.344827586206897,23.076923076923077,1.6206896551724137,1.103448275862069,0.6666666666666666,0.6666666666666666,0.23076923076923078,1.6
2019,40,25.0,37.5,7.5,30.0,0.775,1.3,1.625,1.625,0.3,0.7727272727272727
2020,70,37.142857142857146,24.285714285714285,5.714285714285714,15.384615384615385,1.0,0.7,0.6901408450704225,0.6901408450704225,0.15384615384615385,1.1428571428571428
2021,71,35.2112676056338,21.12676056338028,4.225352112676056,12.0,1.4225352112676057,0.5633802816901409,0.39215686274509803,0.39215686274509803,0.12,0.9642857142857143
2022,34,32.35294117647059,35.294117647058826,11.76470588235294,36.36363636363637,1.1176470588235294,1.0588235294117647,0.9230769230769231,0.9230769230769231,0.36363636363636365,1.7
2023,67,43.28358208955223,35.82089552238806,8.955223880597014,20.689655172413794,1.6567164179104477,1.462686567164179,0.875,0.875,0.20689655172413793,0.5957446808510638
2024,75,34.66666666666667,25.333333333333336,10.666666666666668,30.76923076923077,1.2266666666666666,0.6,0.4838709677419355,0.4838709677419355,0.3076923076923077,0.4857142857142857
2025,72,54.166666666666664,45.83333333333333,19.444444444444446,35.8974358974359,1.9444444444444444,1.3194444444444444,0.6737588652482269,0.6737588652482269,0.358974358974359,1.1851851851851851
