decade,term_a,term_b,similarity,note
1990s,trade,security,0.40859789408314495,
1990s,trade,competition,0.1861531648177033,
1990s,market,security,0.22209665206994186,
1990s,investment,security,0.23603339151075,
1990s,technology,security,0.2532754819815752,
1990s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
1990s,chip,security,,one_or_both_terms_not_in_vocabulary
1990s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
1990s,china,security,0.33025960869373233,
1990s,china,trade,0.5658724310080382,
1990s,china,competition,0.20641418642780854,
2000s,trade,security,0.2710779986848026,
2000s,trade,competition,0.39819494242675507,
2000s,market,security,0.21705884223303473,
2000s,investment,security,0.12863083014117122,
2000s,technology,security,0.17490826376365573,
2000s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
2000s,chip,security,,one_or_both_terms_not_in_vocabulary
2000s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
2000s,china,security,0.3589375850955734,
2000s,china,trade,0.48311965674462226,
2000s,china,competition,0.2991146961578256,
2010s,trade,security,0.33367189376208267,
2010s,trade,competition,0.0489184270572086,
2010s,market,security,0.2528289926925975,
2010s,investment,security,0.07741374896051488,
2010s,technology,security,0.25472682799127677,
2010s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
2010s,chip,security,-0.015215507514604371,
2010s,supply_chain,security,,one_or_both_terms_not_in_vocabulary
2010s,china,security,0.3165666201921898,
2010s,china,trade,0.46459859870200254,
2010s,china,competition,0.14676828612966067,
2020s,trade,security,0.13085565508865069,
2020s,trade,competition,0.25620485978356294,
2020s,market,security,0.13038841732753154,
2020s,investment,security,0.10358818598663298,
2020s,technology,security,0.5142381328782796,
2020s,semiconductor,security,,one_or_both_terms_not_in_vocabulary
2020s,chip,security,,one_or_both_terms_not_in_vocabulary
2020s,supply_chain,security,0.21901780303573273,
2020s,china,security,0.2761845615932558,
2020s,china,trade,0.3853194463342564,
2020s,china,competition,0.2049777708587059,
