decade,rank,keyword,tfidf
1990s,1,rense,0.2549037948701056
1990s,2,hong_kong,0.16875592310885834
1990s,3,international,0.1608144679037356
1990s,4,clinton,0.14989496699669183
1990s,5,ad,0.12448084789410092
1990s,6,united_states,0.11415841857363947
1990s,7,world,0.11316573667299913
1990s,8,us,0.10621696336851673
1990s,9,photos,0.09298569360764167
1990s,10,government,0.09132673485891157
1990s,11,trade,0.0873560072563502
1990s,12,house,0.08636332535570986
1990s,13,economic,0.07941455205122745
1990s,14,beijing,0.07742918824994677
1990s,15,magazine,0.0734584606473854
1990s,16,foreign,0.07147309684610471
1990s,17,american,0.07147309684610471
1990s,18,relations,0.07048041494546436
1990s,19,political,0.06750236924354334
1990s,20,knapp,0.06657934940637088
1990s,21,nations,0.06551700544226265
1990s,22,paige,0.06467708228047456
1990s,23,digest,0.06277481515457825
1990s,24,market,0.06154627783970128
1990s,25,officials,0.060553595939060935
1990s,26,asia,0.05956091403842059
1990s,27,million,0.05956091403842059
1990s,28,human_rights,0.05956091403842059
1990s,29,former,0.054597504535218874
1990s,30,renses,0.05326347952509669
2000s,1,us,0.17629909222385753
2000s,2,international,0.14786375476839664
2000s,3,united_states,0.14786375476839664
2000s,4,world,0.14558892777195978
2000s,5,percent,0.14103927377908604
2000s,6,korea,0.13193996579333855
2000s,7,government,0.12511548480402793
2000s,8,north,0.12056583081115418
2000s,9,photos,0.1202903420548008
2000s,10,american,0.114878763320062
2000s,11,trade,0.10805428233075139
2000s,12,bush,0.10464204183609609
2000s,13,japan,0.09099307985747486
2000s,14,foreign,0.08530601236638267
2000s,15,economic,0.08530601236638267
2000s,16,company,0.08530601236638267
2000s,17,north korea,0.08189377187172737
2000s,18,market,0.0796189448752905
2000s,19,hong_kong,0.07620670438063519
2000s,20,defense,0.07506929088241676
2000s,21,south,0.07165705038776145
2000s,22,countries,0.0671073963948877
2000s,23,people,0.0671073963948877
2000s,24,officials,0.06596998289666928
2000s,25,president,0.06483256939845083
2000s,26,bank,0.0636951559002324
2000s,27,nations,0.06142032890379553
2000s,28,security,0.06028291540557709
2000s,29,sars,0.0601451710274004
2000s,30,markets,0.05573326141270335
2010s,1,united_states,0.24959616675373994
2010s,2,trump,0.1798074998107483
2010s,3,movie,0.17791848263700213
2010s,4,international,0.17356024840491852
2010s,5,government,0.15207183669764288
2010s,6,world,0.1371952439772213
2010s,7,trade,0.11901274176337269
2010s,8,economic,0.10413614904295111
2010s,9,president,0.09752433005609706
2010s,10,politics,0.09091251106924303
2010s,11,us,0.08925955632252952
2010s,12,hong_kong,0.0859536468291025
2010s,13,market,0.0859536468291025
2010s,14,xi_jinping,0.08490909713285338
2010s,15,economy,0.08264773733567549
2010s,16,politics government,0.08099478258896198
2010s,17,manufacturing,0.08087203756227368
2010s,18,global,0.07438296360210793
2010s,19,beijing,0.07273000885539442
2010s,20,military,0.07273000885539442
2010s,21,company,0.07107705410868091
2010s,22,relations,0.0677711446152539
2010s,23,international relations,0.06611818986854039
2010s,24,korea,0.06446523512182688
2010s,25,state,0.06281228037511337
2010s,26,people,0.06281228037511337
2010s,27,trump donald,0.062433159656509835
2010s,28,communist_party,0.061159325628399853
2010s,29,country,0.061159325628399853
2010s,30,american,0.059506370881686345
2020s,1,trump,0.2928886897239709
2020s,2,united_states,0.24293850946360304
2020s,3,biden,0.22806797458455125
2020s,4,covid,0.1920961106852798
2020s,5,government,0.1901791361962549
2020s,6,international,0.16809381715410918
2020s,7,politics,0.1558241954640282
2020s,8,politics government,0.14232761160493915
2020s,9,president,0.1288310277458501
2020s,10,world,0.12392317906981772
2020s,11,us,0.12392317906981772
2020s,12,relations,0.12024229256279342
2020s,13,ncov,0.11991202787435169
2020s,14,covid ncov,0.11991202787435169
2020s,15,biden joseph,0.11285837917586042
2020s,16,joseph jr,0.11050716294303
2020s,17,trump donald,0.10936982717540686
2020s,18,international relations,0.10551874653469627
2020s,19,united_states politics,0.10205105880155488
2020s,20,ukraine,0.0900450518837249
2020s,21,donald,0.08711431399957482
2020s,22,war,0.08466038966155863
2020s,23,trade,0.07975254098552625
2020s,24,russia,0.07361773014048577
2020s,25,jr,0.06993684363346148
2020s,26,country,0.06993684363346148
2020s,27,economy,0.06870988146445338
2020s,28,united_states international,0.06870988146445338
2020s,29,president trump,0.0685878577201704
2020s,30,market,0.0674829192954453
