decade,rank,bigram,count,per_1000_bigrams
1990s,1,international relations,46,1.4536261652709748
1990s,2,united_states international,42,1.3272238900300206
1990s,3,clinton administration,34,1.0744193395481119
1990s,4,clinton bill,34,1.0744193395481119
1990s,5,politics government,33,1.0428187707378733
1990s,6,united nations,28,0.8848159266866804
1990s,7,biographical information,24,0.758413651445726
1990s,8,international trade,23,0.7268130826354874
1990s,9,trade world,23,0.7268130826354874
1990s,10,world market,23,0.7268130826354874
1990s,11,architectural digest,23,0.7268130826354874
1990s,12,conditions trends,23,0.7268130826354874
1990s,13,freedom human_rights,22,0.695212513825249
1990s,14,economic conditions,21,0.6636119450150103
1990s,15,south korea,19,0.6004108073945331
1990s,16,great britain,17,0.5372096697740559
1990s,17,north korea,17,0.5372096697740559
1990s,18,chinainternational relationsus,15,0.4740085321535788
1990s,19,white house,14,0.4424079633433402
1990s,20,paige rense,14,0.4424079633433402
2000s,1,north korea,72,2.7815337067799883
2000s,2,international relations,41,1.5839289163608268
2000s,3,south korea,39,1.5066640911724938
2000s,4,united_states international,36,1.3907668533899942
2000s,5,chief executive,34,1.3135020282016612
2000s,6,conditions trends,33,1.2748696156074948
2000s,7,international trade,33,1.2748696156074948
2000s,8,united nations,29,1.1203399652308286
2000s,9,politics government,29,1.1203399652308286
2000s,10,armament defense,28,1.0817075526366622
2000s,11,economic conditions,28,1.0817075526366622
2000s,12,trade world,28,1.0817075526366622
2000s,13,world market,28,1.0817075526366622
2000s,14,stock index,27,1.0430751400424958
2000s,15,bush george,24,0.9271779022599962
2000s,16,missile defense,21,0.8112806644774966
2000s,17,united_states armament,21,0.8112806644774966
2000s,18,bank america,20,0.7726482518833301
2000s,19,foreign policy,17,0.6567510141008306
2000s,20,european union,17,0.6567510141008306
2010s,1,politics government,49,3.162106350025813
2010s,2,international relations,40,2.5813113061435207
2010s,3,international trade,31,2.000516262261229
2010s,4,world market,31,2.000516262261229
2010s,5,trade world,30,1.9359834796076407
2010s,6,united_states international,29,1.8714506969540525
2010s,7,united_states politics,26,1.6778523489932886
2010s,8,trump donald,25,1.6133195663397006
2010s,9,economic conditions,25,1.6133195663397006
2010s,10,conditions trends,25,1.6133195663397006
2010s,11,north korea,22,1.4197212183789365
2010s,12,defense military,19,1.2261228704181726
2010s,13,military forces,19,1.2261228704181726
2010s,14,united nations,18,1.1615900877645844
2010s,15,south korea,17,1.0970573051109964
2010s,16,computers internet,16,1.0325245224574084
2010s,17,factories manufacturing,16,1.0325245224574084
2010s,18,united_states economy,15,0.9679917398038204
2010s,19,president trump,14,0.9034589571502323
2010s,20,climate change,12,0.7743933918430562
2020s,1,politics government,116,6.972830007213273
2020s,2,international relations,86,5.1695119018994955
2020s,3,united_states politics,68,4.087521038711229
2020s,4,trump donald,59,3.546525607117095
2020s,5,united_states international,56,3.366193796585718
2020s,6,covid ncov,51,3.0656407790334215
2020s,7,biden joseph,48,2.8853089685020437
2020s,8,joseph jr,47,2.8251983649915844
2020s,9,international trade,38,2.2842029333974514
2020s,10,trade world,38,2.2842029333974514
2020s,11,world market,38,2.2842029333974514
2020s,12,president trump,37,2.2240923298869917
2020s,13,invasion ukraine,26,1.5628756912719404
2020s,14,north korea,24,1.4426544842510218
2020s,15,presidential election,23,1.3825438807405628
2020s,16,factories manufacturing,22,1.3224332772301035
2020s,17,defense military,21,1.262322673719644
2020s,18,military forces,21,1.262322673719644
2020s,19,united_states economy,20,1.2022120702091847
2020s,20,south korea,20,1.2022120702091847
