decade,rank,word,count,per_1000_words
1990s,1,hong_kong,170,5.30686145969907
1990s,2,international,162,5.057126802772055
1990s,3,clinton,151,4.7137416494974085
1990s,4,rense,134,4.183055503527503
1990s,5,united_states,115,3.5899356933258413
1990s,6,world,114,3.558718861209964
1990s,7,us,107,3.340201036398826
1990s,8,government,92,2.871948554660673
1990s,9,trade,88,2.7470812261971655
1990s,10,house,87,2.7158643940812888
1990s,11,ad,83,2.590997065617781
1990s,12,economic,80,2.497346569270151
1990s,13,beijing,78,2.434912905038397
1990s,14,magazine,74,2.3100455765748893
1990s,15,foreign,72,2.2476119123431357
1990s,16,american,72,2.2476119123431357
1990s,17,relations,71,2.2163950802272585
1990s,18,political,68,2.122744583879628
1990s,19,nations,66,2.060310919647874
1990s,20,market,62,1.9354435911843666
1990s,21,photos,62,1.9354435911843666
1990s,22,officials,61,1.9042267590684896
1990s,23,human_rights,60,1.8730099269526128
1990s,24,million,60,1.8730099269526128
1990s,25,asia,60,1.8730099269526128
1990s,26,former,55,1.7169257663732282
1990s,27,people,52,1.6232752700255977
1990s,28,bill,51,1.592058437909721
1990s,29,long,50,1.560841605793844
1990s,30,president,49,1.5296247736779671
1990s,31,work,49,1.5296247736779671
1990s,32,city,49,1.5296247736779671
1990s,33,part,48,1.4984079415620901
1990s,34,administration,46,1.4359742773303366
1990s,35,state,46,1.4359742773303366
1990s,36,russia,46,1.4359742773303366
1990s,37,public,45,1.4047574452144598
1990s,38,taiwan,45,1.4047574452144598
1990s,39,next,44,1.3735406130985828
1990s,40,information,44,1.3735406130985828
2000s,1,us,155,5.899368196696354
2000s,2,international,130,4.9478571972292
2000s,3,united_states,130,4.9478571972292
2000s,4,world,128,4.871736317271828
2000s,5,percent,124,4.719494557357082
2000s,6,korea,116,4.415011037527594
2000s,7,government,110,4.1866483976554765
2000s,8,north,106,4.034406637740733
2000s,9,american,101,3.8441044378473013
2000s,10,trade,95,3.6157417979751845
2000s,11,bush,92,3.501560478039126
2000s,12,japan,80,3.0448351982948925
2000s,13,foreign,75,2.854532998401462
2000s,14,company,75,2.854532998401462
2000s,15,economic,75,2.854532998401462
2000s,16,market,70,2.6642307985080307
2000s,17,photos,70,2.6642307985080307
2000s,18,hong_kong,67,2.5500494785719723
2000s,19,defense,66,2.511989038593286
2000s,20,south,63,2.3978077186572277
2000s,21,people,59,2.245565958742483
2000s,22,countries,59,2.245565958742483
2000s,23,officials,58,2.207505518763797
2000s,24,president,57,2.1694450787851105
2000s,25,bank,56,2.1313846388064244
2000s,26,nations,54,2.0552637588490525
2000s,27,security,53,2.0172033188703664
2000s,28,relations,49,1.8649615589556214
2000s,29,taiwan,49,1.8649615589556214
2000s,30,beijing,49,1.8649615589556214
2000s,31,since,49,1.8649615589556214
2000s,32,markets,49,1.8649615589556214
2000s,33,labor,48,1.8269011189769355
2000s,34,military,47,1.7888406789982492
2000s,35,political,47,1.7888406789982492
2000s,36,chief,47,1.7888406789982492
2000s,37,business,46,1.750780239019563
2000s,38,executive,46,1.750780239019563
2000s,39,national,46,1.750780239019563
2000s,40,billion,46,1.750780239019563
2010s,1,united_states,151,9.505823103556814
2010s,2,international,105,6.610009442870632
2010s,3,government,92,5.791627321372364
2010s,4,movie,88,5.539817437834436
2010s,5,world,83,5.225055083412024
2010s,6,trade,72,4.53257790368272
2010s,7,trump,72,4.53257790368272
2010s,8,economic,63,3.96600566572238
2010s,9,president,59,3.7141957821844507
2010s,10,politics,55,3.462385898646522
2010s,11,us,54,3.3994334277620397
2010s,12,market,52,3.2735284859930753
2010s,13,hong_kong,52,3.2735284859930753
2010s,14,economy,50,3.1476235442241105
2010s,15,global,45,2.8328611898017
2010s,16,beijing,44,2.769908718917218
2010s,17,military,44,2.769908718917218
2010s,18,company,43,2.706956248032735
2010s,19,relations,41,2.5810513062637708
2010s,20,manufacturing,40,2.5180988353792886
2010s,21,korea,39,2.4551463644948064
2010s,22,state,38,2.392193893610324
2010s,23,people,38,2.392193893610324
2010s,24,country,37,2.329241422725842
2010s,25,communist_party,37,2.329241422725842
2010s,26,american,36,2.26628895184136
2010s,27,inc,35,2.203336480956877
2010s,28,defense,35,2.203336480956877
2010s,29,xi_jinping,34,2.1403840100723954
2010s,30,north,33,2.0774315391879132
2010s,31,million,32,2.014479068303431
2010s,32,group,32,2.014479068303431
2010s,33,human_rights,32,2.014479068303431
2010s,34,nations,30,1.8885741265344667
2010s,35,south,30,1.8885741265344667
2010s,36,donald,30,1.8885741265344667
2010s,37,growth,30,1.8885741265344667
2010s,38,asia,29,1.8256216556499842
2010s,39,conditions,29,1.8256216556499842
2010s,40,nuclear,28,1.762669184765502
2020s,1,united_states,198,11.629955947136564
2020s,2,trump,158,9.280469897209985
2020s,3,government,155,9.104258443465492
2020s,4,international,137,8.04698972099853
2020s,5,covid,128,7.518355359765051
2020s,6,politics,127,7.459618208516887
2020s,7,president,105,6.167400881057269
2020s,8,world,101,5.932452276064611
2020s,9,us,101,5.932452276064611
2020s,10,relations,98,5.756240822320118
2020s,11,biden,97,5.697503671071953
2020s,12,donald,71,4.170337738619677
2020s,13,war,69,4.0528634361233475
2020s,14,trade,65,3.81791483113069
2020s,15,russia,60,3.524229074889868
2020s,16,ukraine,60,3.524229074889868
2020s,17,country,57,3.3480176211453743
2020s,18,jr,57,3.3480176211453743
2020s,19,economy,56,3.28928046989721
2020s,20,market,55,3.2305433186490458
2020s,21,joseph,52,3.054331864904552
2020s,22,ncov,51,2.995594713656388
2020s,23,inc,50,2.936857562408223
2020s,24,military,48,2.8193832599118944
2020s,25,beijing,46,2.7019089574155655
2020s,26,global,46,2.7019089574155655
2020s,27,korea,44,2.5844346549192365
2020s,28,company,42,2.4669603524229076
2020s,29,american,40,2.3494860499265786
2020s,30,economic,38,2.2320117474302497
2020s,31,election,37,2.173274596182085
2020s,32,defense,37,2.173274596182085
2020s,33,north,36,2.1145374449339207
2020s,34,xi_jinping,36,2.1145374449339207
2020s,35,party,36,2.1145374449339207
2020s,36,people,35,2.0558002936857562
2020s,37,companies,35,2.0558002936857562
2020s,38,presidential,34,1.997063142437592
2020s,39,manufacturing,33,1.9383259911894273
2020s,40,group,32,1.8795888399412628
